name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
ET AMD RYZEN EMBEDDED V SERIES COM EXPRESS TYPE R,"Intel, NXP, Qualcomm, AMD, MediaTek",COM EXPRESS TYPE R,Not Available,AMD RYZEN EMBEDDED V SERIES,Quad,AMD,Not Available,ONBOARD DDR MEMORY MAX GB,Not Available,"VA V, VSB A V","['X USB, X USB, X SATA III, X UART TX/RX, X USB VIA CARRIER BOARD, X USB VIA CARRIER BOARD, X SATA III VIA CARRIER BOARD']",Not Available,Not Available,CC,FF,Not Available,Express-VR7 module powered by AMD Ryzen™ Embedded V3C18I processor · Express-BASE7 carrier board · Supporting up to 64GB DDR5 at 4800MT/s SO-DIMM memory · 10GbE,Not Available,Not Available,"Automotive, Defence & Aviation, Gaming, Healthcare, Industrial Automation, Networking and Communications, Retail & Logistics, Semiconductor Solution"
COMPUTER ON MODULES,ADVANTECH,QSEVEN R,Not Available,INTEL ATOM,4,INTEL,10W,"DDR3, 4GB",32GB,5V,['3'],Not Available,"WESE, WESE SP1",60C,0C,Not Available,"A Qseven R form factor module featuring an Intel Atom Processor N, 4GB DDR3 memory, and supports LVDS, HDMI, DVI display interfaces.","This module supports Intel Gfx, DirectX, OpenGL, MPEG, VCH, HW Decoder, and has a Gigabit Ethernet. It also features PCIe, LPC, SMBus, IC Bus IO, SATAII, and USB interfaces. It operates at a temperature range of 0C to 60C.","The module is equipped with an Intel Atom Processor N, 4GB DDR3 memory, and supports LVDS, HDMI, DVI display interfaces. It also supports Intel Gfx, DirectX, OpenGL, MPEG, VCH, HW Decoder, and has a Gigabit Ethernet. It features PCIe, LPC, SMBus, IC Bus IO, SATAII, and USB interfaces. It operates at a temperature range of 0C to 60C and requires a 5V power supply.",Not Available
INDUSTRIAL IO PCIL PCIUP,Maxim Integrated,PCI,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5V,['2 x RS-232 ports'],Not Available,"['Windows XP', 'Linux']",60C,-20C,"['CE', 'FCC class A']",The Industrial IO PCIL PCIUP is a PCI bus compliant device with up to 115.2 kbps speed for fast data transmissions. It features 2 x RS-232 ports and supports Windows XP and Linux operating systems.,"The Industrial IO PCIL PCIUP is a PCI bus compliant device with up to 115.2 kbps speed for fast data transmissions. It features 2 x RS-232 ports and supports Windows XP and Linux operating systems. It has a level 4 ESD protection (air 15KV, contact 8KV) and operates at a temperature range of -20C to 60C. It is certified by CE and FCC class A.","The Industrial IO PCIL PCIUP is a PCI bus compliant device with up to 115.2 kbps speed for fast data transmissions. It features 2 x RS-232 ports and supports Windows XP and Linux operating systems. It has a level 4 ESD protection (air 15KV, contact 8KV) and operates at a temperature range of -20C to 60C. It is certified by CE and FCC class A. It has a power consumption of 500mA at 5V. It comes with ICOM tools software and supports baud rate setting.",Industrial IO applications
RASPBERRY PI MODEL A,RASPBERRY PI,Not Available,Not Available,ARM-Cortex A72,Quad core,Broadcom,Not Available,"1, 2 and 4 Gigabyte LPDDR4 RAM options",1x SD Card,5 V/2.5 A DC,['28x user GPIO'],"802.11 b/g/n/ac Wireless LAN, Bluetooth 5.0 with BLE",Mature Linux software stack,50 degrees Celsius,0 degrees Celsius,Not Available,Not Available,Not Available,Not Available,Not Available
RSB NXP ARM Cortex-A iMX SBC,ADVANTECH,SBC,False,ARM Cortex-A,Dual Lite,NXP,Not Available,DDR3 1GB,eMMC Flash 4GB,12V,"['USB 2.0', 'USB OTG', 'SDIO', 'Serial Port', 'Ethernet']",WIFI-G,"['Linux', 'Android']",60C,0C,"['CE', 'FCC Class B', 'RoHS COMPLIANT', 'EC NEW']","The RSB NXP ARM Cortex-A iMX SBC is a single board computer with a dual lite processor, DDR3 1GB memory, and eMMC Flash 4GB onboard storage. It supports WIFI-G and operates on Linux and Android.","The RSB NXP ARM Cortex-A iMX SBC is a single board computer designed for low power consumption and fanless design. It features a dual lite processor, DDR3 1GB memory, and eMMC Flash 4GB onboard storage. It supports HDMI and LVDS graphics, USB 2.0, USB OTG, SDIO, and Ethernet interfaces. It operates on Linux and Android and supports WIFI-G wireless capability. It operates at a temperature range of 0C to 60C and is certified with CE, FCC Class B, RoHS COMPLIANT, and EC NEW.","The RSB NXP ARM Cortex-A iMX SBC is a single board computer designed for low power consumption and fanless design. It features a dual lite processor, DDR3 1GB memory, and eMMC Flash 4GB onboard storage. It supports HDMI and LVDS graphics, USB 2.0, USB OTG, SDIO, and Ethernet interfaces. It operates on Linux and Android and supports WIFI-G wireless capability. It operates at a temperature range of 0C to 60C and is certified with CE, FCC Class B, RoHS COMPLIANT, and EC NEW. It comes with a full size Mini PCIe, half size Mini PCIe, SD socket, and SIM slot. It operates at a power supply voltage of 12V and a maximum power consumption of 5W.",Not Available
SB UNISTAR SMART BUSINESS SERIES VA STANDBY SINGLE PHASE UPS,STACO ENERGY PRODUCTS CO,Not Available,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,VAC,['Not Available'],Not Available,Not Available,40 degC,0 degC,Not Available,"The UniStar Smart Business Standby SB UPS offers reliable power protection and battery backup for desktop computers, workstations, networking devices, POS systems, and entertainment systems.","The UniStar SB provides visual and audible status of the unit. It offers battery backup and surge-protected outlets to keep CPU, monitor and critical devices running when power goes or fluctuates outside safe levels. It comes with a 1-year limited warranty.","The UniStar SB UPS is a reliable power protection and battery backup solution for desktop computers, workstations, networking devices, POS systems, and entertainment systems. It provides battery backup and surge-protected outlets to meet the demands of multiple devices in a highly reliable package. It offers visual and audible status of the unit and comes with a 1-year limited warranty.","['Desktop Computers', 'Workstations', 'Networking Devices', 'POS Systems', 'Entertainment Systems']"
MANO,AXIOMTEK CO. LTD,MINI-ITX,False,INTEL CORE I3/I5/I7,twenty-four,INTEL,Not Available,DDR4 SODIMM UP TO 32GB,1 X MSATA,STANDARD 12V ATX POWER,"['2 X USB 3.0', '4 X USB 2.0', '2 X RS-232', '2 X GBE LAN', '1 X HDMI', '2 X DISPLAYPORT', '1 X LVDS']","5G/4G/LTE, Wi-Fi",Not Available,60C,0C,Not Available,"MINI-ITX SBC WITH LGA SOCKET FOR 8TH/9TH GEN INTEL CORE I3/I5/I7 PROCESSOR, DUAL DISPLAYPORT, HDMI, LVDS, USB 3.0, MSATA, M.2, DUAL GBE LAN","THE MANO IS A MINI-ITX SBC THAT SUPPORTS LGA SOCKET FOR 8TH/9TH GEN INTEL CORE I3/I5/I7 PROCESSOR. IT FEATURES DUAL DISPLAYPORT, HDMI, LVDS, USB 3.0, MSATA, M.2, DUAL GBE LAN. IT IS DESIGNED FOR HIGH PERFORMANCE AND RELIABILITY.","THE MANO IS A MINI-ITX SBC THAT SUPPORTS LGA SOCKET FOR 8TH/9TH GEN INTEL CORE I3/I5/I7 PROCESSOR. IT FEATURES DUAL DISPLAYPORT, HDMI, LVDS, USB 3.0, MSATA, M.2, DUAL GBE LAN. IT IS DESIGNED FOR HIGH PERFORMANCE AND RELIABILITY. IT HAS DDR4 SODIMM MEMORY UP TO 32GB AND 1 X MSATA FOR STORAGE. IT OPERATES AT A TEMPERATURE RANGE OF 0C TO 60C.","manufacturing monitoring, medical, digital signage, self-service kiosks"
AIMB,ADVANTECH,MicroATX,Commercialization,Intel Core i7/i5/i3/Pentium,Dual-core,INTEL,73W,Dual channel DDR SDRAM 4GB,"Four SATA II ports, 300MB transfer rate","V: 5V, 12V, Vsb: 5V","['VGA, USB, Audio, Serial, Parallel, FDD, PS']",Not Available,Not Available,60° C,-40° C,RoHS COMPLIANT EC,"LGA Core Duo/Pentium D/Pentium Celeron D Processor-based MicroATX with DDR, PCIe, Single GbE LAN, Intel G chipset, 533MHz FSB","The AIMB is a MicroATX motherboard featuring an LGA socket for Intel Core Duo, Pentium D, and Pentium Celeron D processors. It supports dual channel DDR SDRAM up to 4GB, has a PCIe x16 slot, and four SATA II ports with a 300MB transfer rate. It also supports single Base-T Ethernet via a dedicated PCIe x1 bus.","The AIMB is a MicroATX motherboard featuring an LGA socket for Intel Core Duo, Pentium D, and Pentium Celeron D processors. It supports dual channel DDR SDRAM up to 4GB, has a PCIe x16 slot, and four SATA II ports with a 300MB transfer rate. It also supports single Base-T Ethernet via a dedicated PCIe x1 bus. The board operates at a voltage of 5V, 12V, and Vsb 5V. It is RoHS compliant and EC certified.",Industrial Motherboards
SUSV PI ADVANCED UNINTERRUPTIBLE POWER SUPPLY FOR THE RASPBERRY PI,OLMATIC GMBH,Raspberry Pi,False,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 Volts,['Not Available'],Not Available,Not Available,Not Available,Not Available,Not Available,The SUSV pi advanced is an uninterruptible power supply for the Raspberry Pi with an integrated and adjustable charging function and an extended voltage range.,The SUSV pi advanced is a fully functional plug and play solution for the Raspberry Pi. It provides an uninterruptible power supply and additional functions to optimize the operation of the Raspberry Pi. It has an integrated Li-Po battery and a boost switching power converter to cover the necessary voltage range. It also offers a fully integrated monitoring system with a wide spectrum of operating options.,"The SUSV pi advanced is a power supply additional module for the Raspberry Pi with a main focus on providing an uninterruptible power supply for the single-board computer. It also provides additional functions to optimize the operation of the Raspberry Pi. It has the ability to adjust the integrated charging current from 500mA to 1000mA, causing a much faster battery charging time. The module is equipped with a Li-Po battery and an integrated boost switching power converter to cover the necessary voltage range. The advanced version also provides a power input with an extended voltage range of 6-24 volts for solar cells and automotive applications. It offers a fully integrated monitoring system with a wide spectrum of operating options.","['Uninterruptible power supply for Raspberry Pi', 'Solar cells', 'Automotive applications']"
RACKG U SLOT FULLSIZE RACKMOUNT CHASSIS,IEI,Fullsize slot,False,Not Available,Not Available,Not Available,Not Available,Not Available,1 x 3.5” HDD,Not Available,"['2 x USB, 1 x COM, 1 x LPT']",Not Available,Not Available,50 C,0 C,['RoHS'],"The RACKG U slot Fullsize Rackmount Chassis is a cost-effective, RoHS compatible design with flexible drive combinations, two USB ports on the front panel, a 12cm cooling fan, a replaceable fan filter, and a lockable door to prevent unauthorized access.","The RACKG U slot Fullsize Rackmount Chassis is a cost-effective, RoHS compatible design with flexible drive combinations, two USB ports on the front panel, a 12cm cooling fan, a replaceable fan filter, and a lockable door to prevent unauthorized access.","The RACKG U slot Fullsize Rackmount Chassis is a heavy-duty metal construction with a full-size slot CPU card. It has drive combinations of 1 x 5.25”, 1 x front accessible 3.5”, and 1 x 3.5” HDD. It features 2 x USB I/O ports and 14 expansion slots. The operating temperature ranges from 0°C to 50°C. It is RoHS compliant and has two USB ports on the front panel. It also features three hot swappable 8 cm cooling fans and front accessible I/O slots.",Not Available
