id,data
gen4-uLCD-32DCT-CLB-PI,
gen4-IoD Programming Adaptor,"{'name': 'Geniodt Resistive Touch', 'manufacturer': 'D Systems', 'form_factor': 'Not available', 'processor': 'ESP SoC', 'core_count': 'Single-core', 'processor_tdp': 'Not available', 'memory': 'SD card socket, FAT/FAT32 formatted cards', 'io': 'Pin ZIF socket, FFC cable', 'operating_system': 'Arduino IDE with ESP core', 'environmentals': 'Not available', 'certifications': 'FCC', 'short_summary': 'The genIoD Internet Displays series is part of the latest gen range of modules designed and manufactured by D Systems, featuring a color TFT LCD with resistive touch and powered by a WiFi-enabled ESP SoC.', 'full_summary': 'The genIoD Internet Displays series is part of the latest gen range of modules designed and manufactured by D Systems. This specific gen module features a color TFT LCD with resistive touch and is powered by a WiFi-enabled ESP SoC. It offers an array of functionality options for designers, integrators, and users. The genIoD range is easily programmed using D Systems Workshop or Arduino IDE with the ESP core installed. The feature-rich D Systems GFXd library enables speedy development of applications, providing extensive primitive graphics functions and enhanced graphics via Workshop, SD card, and touch routines integrated into a single library.', 'full_product_description': 'The genIoD Internet Displays series is part of the latest gen range of modules designed and manufactured by D Systems. This specific gen module features a color TFT LCD with resistive touch and is powered by a WiFi-enabled ESP SoC. It offers an array of functionality options for designers, integrators, and users. The genIoD range is easily programmed using D Systems Workshop or Arduino IDE with the ESP core installed. The feature-rich D Systems GFXd library enables speedy development of applications, providing extensive primitive graphics functions and enhanced graphics via Workshop, SD card, and touch routines integrated into a single library. The onboard SD card socket enables the use of FAT/FAT32 formatted cards for extensive storage capabilities. The genIoD series Integrated Display Modules feature a pin ZIF socket designed for a pin FFC cable, allowing easy and simple connection to an application motherboard or connecting accessory boards for a range of functionality advancements. The gen series modules are designed to minimize the impact of display-related circuitry and provide a platform suitable for integration into a product. Application boards sit flush with the back of the gen module, with required display-related electronics sitting inside a plastic mounting base, leaving the application board surface clear for user circuitry.'}"
gen4-uLCD-24D-CLB-PI,"{'name': 'Genhmi Display Module', 'manufacturer': 'D Systems', 'form_factor': 'D: 6.5 x 4.8 x 1.2 mm, DCLB: 6.5 x 4.8 x 1.2 mm, DT: 6.5 x 4.8 x 1.2 mm', 'processor': 'Diablo Graphics Processor', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'Banks of 32768 bytes Flash memory, 14 Kb SRAM', 'io': 'GPIO, PWM, Serial, I2C, SPI, Pulse Out, Quadrature Input, Analog Input', 'operating_system': 'Windows CE 6.0', 'environmentals': 'Operating temperature: -10°C to 70°C, Storage temperature: -30°C to 80°C', 'certifications': 'RoHS, REACH, CE', 'short_summary': 'The genHMI Display Module is a powerful and intelligent LCD/TFT display module powered by the Diablo Graphics Processor, designed for ease of integration and use.', 'full_summary': 'The genHMI Display Module is part of the latest generation of display modules designed and manufactured by D Systems. It features a color TFT LCD display with optional resistive touch, powered by the feature-rich Diablo Graphics Processor. The module offers a wide array of functionalities including customizable GPIO, PWM, Serial, I2C, SPI, Pulse Out, Quadrature Input, and Analog Input. It is compatible with the Workshop IDE, providing users with various options for programming and controlling the system.', 'full_product_description': 'The genHMI Display Module series, designed and manufactured by D Systems, is a powerful and intelligent display solution featuring a color TFT LCD display with optional resistive touch. Powered by the Diablo Graphics Processor, it offers a wide range of functionalities including customizable GPIO, PWM, Serial, I2C, SPI, Pulse Out, Quadrature Input, and Analog Input. The module is compatible with the Workshop IDE, which supports multiple development environments such as Designer, ViSi, ViSi Genie, and Serial. It is designed for ease of integration and use, with careful consideration of space requirements and functionality. The module also supports microSD memory storage, audio generation, and various communication interfaces. It is RoHS, REACH, and CE compliant, making it suitable for a wide range of applications.'}"
PPC-MB-620A,"{'name': 'General Panel PC', 'manufacturer': 'Advantech', 'form_factor': 'Panel PC', 'processor': 'Intel 8th Generation Core', 'core_count': 'Up to 24 cores', 'processor_tdp': 'Not available', 'memory': 'DDR4 2666MHz, up to 32GB', 'io': 'USB 3.1 Gen 1, USB 3.1 Gen 2, USB 2.0, Ethernet, DisplayPort, HDMI, Audio, Serial RS232/422/485', 'operating_system': 'Microsoft Windows 10 IoT, Linux', 'environmentals': 'IP65 front side for Infection control', 'certifications': 'Not available', 'short_summary': 'General Panel PC with Intel 8th Generation Core processors, multiple I/O interfaces, and support for Windows and Linux.', 'full_summary': 'The General Panel PC series features Intel 8th Generation Core processors, dual-channel DDR4 memory, and a variety of I/O interfaces including USB, Ethernet, DisplayPort, HDMI, and serial ports. It supports both Windows 10 IoT and Linux operating systems.', 'full_product_description': 'The General Panel PC series by Advantech is designed for industrial applications, featuring Intel 8th Generation Core processors and dual-channel DDR4 memory up to 32GB. It offers extensive I/O options including USB 3.1 Gen 1, USB 3.1 Gen 2, USB 2.0, Ethernet, DisplayPort, HDMI, and serial RS232/422/485 ports. The system supports triple display outputs and various expansion slots for additional functionality. Compatible with both Microsoft Windows 10 IoT and Linux, this panel PC is versatile and robust for various industrial needs.'}"
gen4-4DPi-70T,"{'name': 'GenDPi Series', 'manufacturer': 'D Systems', 'form_factor': 'Small Form Factor', 'processor': 'Onboard processor', 'core_count': '16', 'processor_tdp': '65 W', 'memory': '8GB', 'io': 'High-speed MHz SPI connection, way FFC Cable', 'operating_system': 'Raspberry Pi Operating System', 'environmentals': 'Reliable operation in extreme conditions (e.g., temperature, shock, and vibration)', 'certifications': 'DoD 8570 Baseline Certification', 'short_summary': 'The genDPi range is a primary display for Raspberry Pi featuring integrated resistive and capacitive touch panels.', 'full_summary': 'The genDPi range is designed to function as a primary display for Raspberry Pi models, featuring integrated resistive and capacitive touch panels. It connects via a high-speed MHz SPI connection and uses an onboard processor for direct command interpretation. The display is compatible with the Raspberry Pi Operating System.', 'full_product_description': 'The genDPi range serves as a primary display for various Raspberry Pi models, including Raspberry Pi A, B, Pi Zero, and others. It features integrated resistive and capacitive touch panels, allowing it to function without the need for a mouse. The genDPi connects to the Raspberry Pi via a high-speed MHz SPI connection and uses an onboard processor for direct command interpretation. The display resolution is 800 x 480 pixels, which may not fully display menus and desktop without downscaling. The genDPi is designed to work with the Raspberry Pi Operating System and is compatible with Pixel and Scratch.'}"
GEN4-PA,"{'name': 'Gen Programming Adaptor', 'manufacturer': 'D Systems', 'form_factor': '5x5 mm QFN28 package', 'processor': 'Silicon Labs CP USB Serial Bridge IC', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'Not available', 'io': 'USB, UART, GPIO', 'operating_system': '2000, Server 2003, XP, Vista, 7', 'environmentals': 'USB powered, 0-70 degrees Celsius temp range', 'certifications': 'Microsoft tested drivers', 'short_summary': 'GenPA Programming Adaptor for interfacing and programming gen range Intelligent Display modules.', 'full_summary': 'The genPA Programming Adaptor is compatible with the gen range of Intelligent Display modules featuring Picaso and Diablo graphics processors. It includes a Starter Kit for easy interfacing and programming without breaking signals.', 'full_product_description': 'The genPA Programming Adaptor is designed for programming gen display modules and interfacing with breadboards, prototyping setups, and Arduino/Raspberry Pi interfaces. It replaces the need for a separate standard programmer and includes a microUSB jack for PC connection. The adaptor utilizes the Silicon Labs CP USB Serial Bridge IC and supports USB full speed at 12 Mbps. It is USB powered and operates within a temperature range of 0-70 degrees Celsius.'}"
VL-EPIC-2B,"{'name': 'Gecko GX Single Board Computer', 'manufacturer': 'VersaLogic Corporation', 'form_factor': 'EPIC Form Factor, 165 x 115 mm', 'processor': 'AMD GX', 'core_count': 'Not available', 'processor_tdp': '1 watt', 'memory': 'Up to 512 MB DDR RAM', 'io': 'USB ports, Ethernet, COM ports (RS-232, RS-485), IDE interface, Digital IO, Analog IO, PS/2 keyboard and mouse ports, LPT interface', 'operating_system': 'Compatible with Windows, QNX, VxWorks, Linux', 'environmentals': 'Operating Temperature: -40°C to +85°C (extended temp version), Storage Temperature: -40°C to +85°C, Humidity: Less than 95% non-condensing', 'certifications': 'RoHS', 'short_summary': 'The Gecko GX Single Board Computer is a midsized, efficient SBC with low power consumption and a complete set of onboard features.', 'full_summary': 'The Gecko GX Single Board Computer offers an excellent balance of outstanding performance and low power consumption. It features a highly reliable design, support for OEM applications, and long-term availability. The board is built around the advanced AMD GX CPU, which provides fanless operation and low power consumption. The Gecko is available in standard and extended temperature versions and includes a full range of onboard I/O devices.', 'full_product_description': 'The Gecko GX Single Board Computer is designed for high reliability and long-term availability, making it ideal for OEM applications. It features the AMD GX processor, which offers equivalent performance to MHz processors but with less than half the power consumption. The board includes high-speed DDR RAM, integrated high-performance video, and a wide range of I/O interfaces such as USB, Ethernet, COM ports, IDE, digital and analog I/O, and PS/2 ports. The Gecko supports various operating systems, including Windows, QNX, VxWorks, and Linux. It also includes enhanced ESD protection, a watchdog timer for hardware-level safety control, and a field-reprogrammable BIOS with OEM enhancements. The Gecko is available in both standard and extended temperature models, ensuring reliable operation in various environmental conditions.'}"
G400D-SM-400,"{'name': 'GD Module', 'manufacturer': 'GHI Electronics', 'form_factor': 'SODIMM, 67.6mm x 30mm x 4.2mm', 'processor': 'Atmel ATSAMX 200 MHz ARM EJS Core', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': '16 MBytes DDR SDRAM, 4 MBytes Serial Flash', 'io': 'GPIO, SPI, UART, I2C, ISCAN, ADC, DAC, PWM, USB Host/Client, Ethernet, SD card interface', 'operating_system': 'NET Micro Framework', 'environmentals': 'Operating Temperature: Not available, Lead Free, RoHS Compliant', 'certifications': 'RoHS Compliant', 'short_summary': 'The GD Module is a SODIMM form factor system module featuring an Atmel ATSAMX 200 MHz ARM EJS Core processor, 16 MBytes DDR SDRAM, and 4 MBytes Serial Flash, running the NET Micro Framework.', 'full_summary': 'The GD Module is a compact SODIMM system module designed by GHI Electronics. It features an Atmel ATSAMX 200 MHz ARM EJS Core processor, 16 MBytes DDR SDRAM, and 4 MBytes Serial Flash. The module runs the NET Micro Framework, providing high-level features such as a FAT file system, TCP/IP stack, graphics, threading, and developer NET APIs. It includes GHI Electronics extensions for WiFi, USB Host, SQLite, PPP, and InField Update, all royalty-free.', 'full_product_description': 'The GD Module by GHI Electronics is a versatile SODIMM system module that integrates hardware and embedded software to provide a comprehensive solution for various applications. It is powered by an Atmel ATSAMX 200 MHz ARM EJS Core processor, supported by 16 MBytes of DDR SDRAM and 4 MBytes of Serial Flash. The module runs the NET Micro Framework, offering features like a FAT file system, TCP/IP stack, graphics, threading, and developer NET APIs. Additionally, it includes GHI Electronics extensions for WiFi, USB Host, SQLite, PPP, and InField Update, all provided royalty-free. The module supports a wide range of I/O interfaces, including GPIO, SPI, UART, I2C, ISCAN, ADC, DAC, PWM, USB Host/Client, Ethernet, and an SD card interface. It is RoHS compliant and designed for applications such as graphical human-machine interfaces, data loggers, handheld testers, IoT applications, networked alarm systems, automation applications, controllers, and robotics.'}"
G4PB32DEC,"{'name': 'G Digital IO Family', 'manufacturer': 'Opto', 'form_factor': 'Various mounting racks and modules', 'processor': 'Not available', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'Not available', 'io': 'Various digital IO modules including DC and AC input/output modules', 'operating_system': 'Not available', 'environmentals': 'Operating temperature: -20°C to 70°C, Humidity: 95% non-condensing', 'certifications': 'UL, CSA, CE, RoHS, UKCA', 'short_summary': 'The G Digital IO Family by Opto includes a variety of digital IO modules and mounting racks designed for high-density, flexible, and reliable automation solutions.', 'full_summary': 'The G Digital IO Family by Opto provides increased density while maintaining single-channel flexibility. It includes a wide variety of modules, mounting racks, and accessories to meet the needs of various systems. The family features high noise rejection, transient-free clean switching, and built-in LED status indicators. It supports both DC and AC input/output modules with optical isolation and various logic voltages.', 'full_product_description': 'The G Digital IO Family by Opto includes a comprehensive range of digital IO modules and mounting racks designed for automation systems. The family offers high-density modules with single-channel flexibility, featuring optical isolation, high noise rejection, and transient-free clean switching. The modules are available in various logic voltages and support both DC and AC inputs and outputs. The mounting racks are compact, UL recognized, CSA certified, CE compliant, and RoHS compliant. They are designed for easy installation and maintenance, with features like screw-type barrier strips, header connectors, and built-in LED status indicators. The family also includes accessories such as cables, connectors, fuses, and jumper straps to simplify wiring and installation.'}"
M1AFS-ADV-DEV-KIT-PWR-2,"{'name': 'Fusion Advanced Development Kit', 'manufacturer': 'Microsemi', 'form_factor': 'Not available', 'processor': 'ARM Cortex-M', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': '2 MB SRAM, 1 MB SPI Flash, 2 MB Parallel Flash', 'io': 'Ethernet, USB-to-UART, IC Interface, OLED Display, RealView Header', 'operating_system': 'Not available', 'environmentals': 'Not available', 'certifications': 'RoHS-compliant', 'short_summary': 'The Fusion Advanced Development Kit by Microsemi is designed for developing applications involving power sequencing, system management, and embedded ARM Cortex-M based systems.', 'full_summary': 'The Fusion Advanced Development Kit by Microsemi is a comprehensive platform for developing applications that involve power sequencing, system management, and embedded ARM Cortex-M based systems. It includes various interfaces such as Ethernet, USB-to-UART, and IC, along with memory components like 2 MB SRAM, 1 MB SPI Flash, and 2 MB Parallel Flash.', 'full_product_description': 'The Fusion Advanced Development Kit by Microsemi is a versatile development platform designed for applications involving power sequencing, system management, and embedded ARM Cortex-M based systems. The kit includes a Fusion FPGA with advanced mixed-signal capabilities, various power management circuits, and multiple interfaces such as Ethernet, USB-to-UART, and IC. It also features memory components including 2 MB SRAM, 1 MB SPI Flash, and 2 MB Parallel Flash. The kit is RoHS-compliant and supports a wide range of development and testing procedures, making it ideal for both prototyping and production environments.'}"
