id,data
Z9-PC-DEVKIT,"{'name': 'ZumLink Series OEM ZPC ZPCSR', 'manufacturer': 'FreeWave Technologies', 'form_factor': 'ZPC: 63.5 x 38.1 x 10.2 mm, ZPCSR: 76.2 x 50.8 x 10.2 mm', 'processor': 'ARM Cortex-A8 1 GHz', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'RAM: 512 MB, Storage: 4 GB', 'io': 'Dual Row 20-pin header, Ethernet, Power, Serial, USB (Micro USB), RF Connector (MMCX)', 'operating_system': 'Debian-based Linux', 'environmentals': 'Operating Temperature: -40°C to 75°C (-40°F to 167°F), Humidity: 95% non-condensing', 'certifications': 'Class I Division 2 certified, UL, RoHS Directive 2011/65/EU', 'short_summary': 'The ZumLink Series OEM ZPC ZPCSR is an industrial Ethernet radio designed for secure, long-range, low-power wireless communications in rugged environments.', 'full_summary': 'The ZumLink Series OEM ZPC ZPCSR by FreeWave Technologies is an industrial Ethernet radio designed for secure data collection, transport, and control in rugged environments. It operates in the unlicensed 900 MHz spectrum using Frequency Hopping Spread Spectrum (FHSS) technology, providing long-range, low-power wireless communications with enhanced network efficiency and reliability.', 'full_product_description': ""Designed and manufactured by FreeWave Technologies, the ZumLink Series OEM ZPC ZPCSR is an industrial Ethernet radio that operates in the unlicensed 900 MHz spectrum using Frequency Hopping Spread Spectrum (FHSS) technology. It offers secure data transfer with RF link rates up to 4 Mbps and features such as packet compression, packet aggregation, and forward error correction to maximize network throughput, efficiency, and reliability. The radios are ideal for integration into networks, systems, and devices used in industries like oil and gas, precision agriculture, water/wastewater, smart cities, and utilities. They provide a Cost, Size, Weight, and Power (CSWaP) advantage with a small, lightweight form factor and low power consumption. The ZumLink Series is also software upgradable to include FreeWave's IQ Application Environment, a Linux-based operating system for developing and deploying third-party applications. The product is certified for safe use in hazardous locations and complies with UL and RoHS standards.""}"
SDK-AM3517-10-256512R,"{'name': 'Zoom AM Experimenter Kit', 'manufacturer': 'Logic Product Development', 'form_factor': 'Not available', 'processor': 'Texas Instruments AM Processor', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'Not available', 'io': 'SDMMC card slot, HDMI video port, USB Type B port, S-Video port, RJ Ethernet jack, USB On-the-Go mini-AB port, USB host Type A port, DB-9 serial debug port', 'operating_system': 'Linux', 'environmentals': 'Not available', 'certifications': 'Not available', 'short_summary': 'The Zoom AM Experimenter Kit is a development kit for evaluating the functionality of the Texas Instruments AM processor.', 'full_summary': 'The Zoom AM Experimenter Kit provides a product-ready hardware and software platform for evaluating the functionality of the Texas Instruments AM processor. It includes the AM SOMM, experimenter baseboard, various cables, and power adapters.', 'full_product_description': 'The Zoom AM Experimenter Kit is designed for engineering development, demonstration, or evaluation purposes. It includes the AM SOMM, experimenter baseboard, null-modem serial cable, USB A to mini-B cable, and a regulated 5V power supply with adapters for different regions. The kit supports terminal emulation programs and comes with pre-installed U-Boot bootloader and Linux kernel. Additional documentation and software resources are available on the Logic Product Development website.'}"
LPC3180-DEV-KIT,"{'name': 'LPC Development Kit', 'manufacturer': 'NXP Semiconductors', 'form_factor': 'Prototyping form-factor', 'processor': 'NXP LPC', 'core_count': '1', 'processor_tdp': 'Not available', 'memory': '32 MB SDRAM, 64 MB NAND Flash', 'io': 'UARTs, I2C, SPI, 10-bit ADC, GPIO, USB OTG, RS-232, Ethernet, SD Card Slot, LCD Keypad', 'operating_system': 'Embedded Linux', 'environmentals': 'Not available', 'certifications': 'Not available', 'short_summary': 'The LPC Development Kit provides a stable platform for building powerful user applications within an ARM Linux environment.', 'full_summary': 'The LPC Development Kit provides a stable platform for building powerful user applications within an ARM Linux environment. It supports popular mobile technologies and comes preloaded with Linux Kernel and hardware drivers.', 'full_product_description': 'The LPC Development Kit provides a stable platform for building powerful user applications within an ARM Linux environment. The kit includes an LPC Board, LCD Keypad Board, Operating System Images, Users Manual, Power Supply, and RS-232 Debug Cable. It features an NXP LPC microprocessor, 32 MB SDRAM, 64 MB NAND Flash, and supports WiFi, Bluetooth, Audio Codec, USB OTG, and more. The device comes preloaded with ARM Linux, WiFi driver, Audio Codec driver, Bluetooth driver, Framebuffer driver, and Keypad driver. It allows interfacing with Linux via DB-9 Serial Port and supports running an Apache Web Server, transferring files via NFS, Samba, and FTP, and mounting NAND Flash as a non-volatile filesystem.'}"
DEMO850W12VDC230VACTOBO1,"{'name': 'XMC Microcontroller', 'manufacturer': 'Infineon Technologies', 'form_factor': 'Not available', 'processor': 'ARM Cortex-M', 'core_count': '1', 'processor_tdp': 'Not available', 'memory': 'Flash Memory', 'io': 'Not available', 'operating_system': 'Not available', 'environmentals': 'High-temperature robustness', 'certifications': 'Not available', 'short_summary': 'XMC Microcontroller with ARM Cortex-M processor and fixed flash wait states.', 'full_summary': 'The XMC Microcontroller family by Infineon Technologies features an ARM Cortex-M processor core and supports fixed flash wait states for improved program execution determinism.', 'full_product_description': 'The XMC Microcontroller family by Infineon Technologies includes devices with an ARM Cortex-M processor core. These microcontrollers support fixed flash wait states, which can be configured to improve the determinism of program execution from flash memory. The configuration of these wait states is managed through specific registers, and the number of wait states depends on the system frequency. The devices are designed to dynamically adapt flash access timing without user software interaction, but can also be set to a fixed wait state scheme for more predictable performance.'}"
EAK00347,"{'name': 'Wireless Communication iMX Developers Kit', 'manufacturer': 'Embedded Artists', 'form_factor': 'uCOM', 'processor': 'iMX', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'Not available', 'io': 'WiFi, Bluetooth, UART, JTAG, Audio Codec', 'operating_system': 'Linux', 'environmentals': 'Not available', 'certifications': 'Not available', 'short_summary': 'A developers kit for adding wireless functionality to iMX modules, supporting WiFi and Bluetooth.', 'full_summary': 'The Wireless Communication iMX Developers Kit by Embedded Artists is designed to add wireless functionality to iMX modules. It supports WiFi and Bluetooth connections and includes a comprehensive guide for setup and configuration.', 'full_product_description': 'The Wireless Communication iMX Developers Kit by Embedded Artists provides a detailed guide for adding wireless functionality to iMX modules. It includes instructions for setting up WiFi and Bluetooth connections, configuring the Linux operating system, and using various interfaces such as UART, JTAG, and Audio Codec. The kit supports multiple iMX boards and offers advanced features like VBAT current measurement and dual UART debug channels. The documentation also covers software updates, building images with Yocto, and troubleshooting common issues.'}"
W65C265SXB,"{'name': 'WCSXB', 'manufacturer': 'Western Design Center', 'form_factor': 'Not available', 'processor': 'WCS 16-bit microcontroller', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': '32 Kbytes SRAM, 32 Kbytes FLASH ROM', 'io': 'XBus Port, PIA Port, Px Port, Micro USB TIDE Port', 'operating_system': 'Not available', 'environmentals': 'Not available', 'certifications': 'RoHS/Green compliant', 'short_summary': 'The WCSXB is a feature-rich 16-bit microcontroller-based board with internal system monitor ROM, ideal for applications requiring in-system diagnostics.', 'full_summary': 'The WCSXB is based around the WCS 16-bit microcontroller, featuring internal system monitor ROM. It is suitable for applications requiring in-system diagnostics, robust math applications, sensing pressure, temperature, RPM, flow monitoring, climate control systems, scientific, automotive, communications, and home appliance automation.', 'full_product_description': 'The WCSXB is a feature-rich 16-bit microcontroller-based board with proven functionality for applications requiring in-system diagnostics. It features an internal system monitor ROM, 32 Kbytes SRAM, 32 Kbytes FLASH ROM, and multiple I/O ports including XBus, PIA, Px, and Micro USB TIDE. The board is RoHS/Green compliant and is intended for engineering development and evaluation purposes only.'}"
WAFER-ADL-P-i3C-R10,"{'name': 'Waferadlp', 'manufacturer': 'IEI', 'form_factor': '100 mm x 72 mm', 'processor': 'Intel Alder Lake-P Celeron/Core i3/Core i5/Core i7', 'core_count': 'Not available', 'processor_tdp': 'Not available', 'memory': 'LPDDR4x 3200 MHz, 8 GB', 'io': '2x RJ45, 4x USB 3.2 Gen 2, 2x USB 2.0, 2x HDMI, 2x DP, 2x SATA 6Gb/s, 2x RS232, 1x RS422/485, 1x SMBus, 1x iAUDIO, 1x Front Panel, 1x System Fan', 'operating_system': 'Not available', 'environmentals': 'Operating Temperature: -40°C to 85°C, Storage Temperature: -40°C to 85°C, Operating Humidity: 5% to 95% non-condensing', 'certifications': 'CE, FCC, RoHS', 'short_summary': 'Waferadlp is a single board computer supporting Intel Alder Lake-P processors with onboard LPDDR4x memory, multiple I/O interfaces, and expansion slots.', 'full_summary': 'The Waferadlp single board computer supports Intel Alder Lake-P processors including Celeron, Core i3, Core i5, and Core i7. It features onboard LPDDR4x 3200 MHz 8 GB memory, dual GbE LAN, multiple USB and SATA interfaces, and various expansion slots for WiFi, Bluetooth, and NVMe storage. It is designed for high performance and multitasking capabilities.', 'full_product_description': 'The Waferadlp single board computer from IEI supports the latest 12th Gen Intel mobile Alder Lake-P processors, including Celeron, Core i3, Core i5, and Core i7 models. It comes with onboard LPDDR4x 3200 MHz 8 GB memory and supports quadruple independent displays via 2x HDMI and 2x DP. The board includes dual GbE LAN ports, multiple USB 3.2 Gen 2 and USB 2.0 ports, and 2x SATA 6Gb/s interfaces. Expansion options include M.2 A key for WiFi/Bluetooth, M.2 B key for 4G modules, and M.2 M key for NVMe storage. The board is compliant with CE, FCC, and RoHS standards and is designed to operate in harsh environments with temperatures ranging from -40°C to 85°C.'}"
WAFER-ULT4-i5-R11,"{'name': 'Single Board Computer', 'manufacturer': 'IEI', 'form_factor': '170mm x 170mm', 'processor': 'Intel 6th Generation ULT Processor', 'core_count': 'Dual-core', 'processor_tdp': '15W', 'memory': 'DDR4 SODIMM, up to 32GB, Onboard 4GB DDR4', 'io': '2x USB 3.0, 2x SATA 6Gb/s, 2x RS-232, 1x VGA, 1x HDMI, 1x LVDS, 2x GbE LAN', 'operating_system': 'Not available', 'environmentals': 'Operating Temperature: 0°C to 60°C, Storage Temperature: -20°C to 70°C, Operating Humidity: 5% to 95% non-condensing', 'certifications': 'CE, FCC', 'short_summary': 'Single Board Computer with Intel 6th Generation ULT Processor, DDR4 SODIMM, Triple Display Support, Dual GbE LAN, and PCIe Mini Slots.', 'full_summary': 'The Single Board Computer supports Intel 6th Generation ULT Processor, DDR4 SODIMM, onboard memory, triple display output, dual GbE LAN, and PCIe Mini slots. It is designed for embedded applications with robust environmental specifications and multiple I/O interfaces.', 'full_product_description': 'The Single Board Computer (SBC) from IEI supports Intel 6th Generation ULT processors, including Core i7-6600U, Core i5-6300U, Core i3-6100U, and Celeron 3955U. It features DDR4 SODIMM slots supporting up to 32GB of memory, with an onboard 4GB DDR4 option. The SBC supports triple independent displays via VGA, HDMI, and LVDS interfaces. It includes dual GbE LAN ports, multiple USB and SATA ports, and PCIe Mini slots for expansion. The board is compliant with CE and FCC certifications and is designed to operate in temperatures ranging from 0°C to 60°C.'}"
WAFER-BW-N4-R21,"{'name': 'Waferbw Single Board Computer', 'manufacturer': 'IEI', 'form_factor': '100 mm x 72 mm', 'processor': 'Intel Pentium/Celeron', 'core_count': 'Quad-core/Dual-core', 'processor_tdp': '6W', 'memory': 'One 204-pin 1600 MHz DDR3L SDRAM, supports up to 8GB', 'io': 'Dual HDMI, LVDS, Dual PCIe GbE, PCIe Mini, USB 3.1 Gen 1, SATA 3.0, mSATA, COM, Audio', 'operating_system': 'Not available', 'environmentals': 'Operating Temperature: -20°C to 60°C, Storage Temperature: -30°C to 70°C, Operating Humidity: 5% to 95% non-condensing', 'certifications': 'CE, FCC compliant', 'short_summary': 'Waferbw Single Board Computer with Intel Pentium/Celeron processors, dual HDMI, LVDS, dual PCIe GbE, and various I/O interfaces.', 'full_summary': 'The Waferbw Single Board Computer by IEI supports Intel Pentium and Celeron processors, offering quad-core and dual-core options. It features dual HDMI, LVDS, dual PCIe GbE, PCIe Mini, USB 3.1 Gen 1, SATA 3.0, mSATA, COM, and audio interfaces. The board supports up to 8GB of DDR3L SDRAM and operates in temperatures ranging from -20°C to 60°C.', 'full_product_description': 'The IEI Waferbw Single Board Computer is designed for embedded applications, supporting Intel Pentium and Celeron processors with quad-core and dual-core options. It includes dual HDMI, LVDS, dual PCIe GbE, PCIe Mini, USB 3.1 Gen 1, SATA 3.0, mSATA, COM, and audio interfaces. The board supports up to 8GB of DDR3L SDRAM and operates in temperatures ranging from -20°C to 60°C. It is CE and FCC compliant, making it suitable for various industrial applications.'}"
WAFER-BT-J19001-ECO-R20,"{'name': 'Single Board Computer', 'manufacturer': 'IEI', 'form_factor': '100 mm x 72 mm', 'processor': 'Intel Atom/Celeron onboard SoC', 'core_count': 'Quad-core, Dual-core, Single-core', 'processor_tdp': '6W', 'memory': 'One 204-pin 1333 MHz single-channel DDR3L SODIMM slot, supports up to 8GB', 'io': '2x RS-232, 2x USB 2.0, 2x USB 3.0, 1x VGA, 1x HDMI, 1x LVDS, 2x GbE LAN, 1x SATA 3.0, 1x mSATA, 1x Audio', 'operating_system': 'Not available', 'environmentals': 'Operating Temperature: -20°C to 60°C, Storage Temperature: -30°C to 70°C, Operating Humidity: 5% to 95% non-condensing', 'certifications': 'CE, FCC compliant', 'short_summary': 'IEI Single Board Computer with Intel Atom/Celeron SoC, supporting dual independent displays, multiple I/O interfaces, and various environmental conditions.', 'full_summary': 'The IEI Single Board Computer features an Intel Atom/Celeron onboard SoC, supporting dual independent displays, multiple I/O interfaces including USB, SATA, and PCIe Mini, and is compliant with CE and FCC standards. It operates in a wide range of temperatures and humidity levels, making it suitable for various embedded applications.', 'full_product_description': 'The IEI Single Board Computer (SBC) is designed for embedded applications, featuring an Intel Atom/Celeron onboard SoC with options for quad-core, dual-core, and single-core processors. It supports dual independent displays via VGA, LVDS, and iDP interfaces. The SBC includes multiple I/O interfaces such as USB 2.0, USB 3.0, RS-232, SATA 3.0, mSATA, and GbE LAN. It also supports up to 8GB of DDR3L memory. The board is compliant with CE and FCC standards and can operate in temperatures ranging from -20°C to 60°C and humidity levels from 5% to 95% non-condensing. This makes it ideal for a variety of industrial and embedded applications.'}"
