id,data
PBQ-3000-RED R1.2,"{'name': 'PBQ Qseven Carrier Board', 'manufacturer': 'ARBOR Technology', 'form_factor': 'EPIC', 'processor': 'Intel® Core™2 Duo L7500, 1.6 GHz', 'core_count': '2', 'processor_tdp': 'Not available', 'memory': 'max. 4 GB', 'io': 'Dual Gigabit Ethernet Ports, Single Channel LVDS, Dual Channels LVDS, Analog RGB, DVI, USB, SATA, PCIe, MiniCard Socket, LPC, RS-232, RS-485, Digital IO', 'operating_system': 'Depends on CPU Module', 'environmentals': 'Operating Temperature: 0°C to 60°C (32°F to 140°F), Operating Humidity: 0% to 90% non-condensing', 'certifications': 'Not available', 'short_summary': 'PBQ Qseven Carrier Board with EPIC form factor featuring dual Gigabit Ethernet ports, various display interfaces, and wide range DC power input.', 'full_summary': 'The PBQ Qseven Carrier Board in EPIC form factor offers dual Gigabit Ethernet ports, integrated Gigabit Ethernet, single and dual channel LVDS, analog RGB, DVI, and a wide range DC power input. It includes various I/O interfaces such as USB, SATA, PCIe, MiniCard socket, LPC, RS-232, RS-485, and digital IO.', 'full_product_description': 'The PBQ Qseven Carrier Board by ARBOR Technology is designed in the EPIC form factor. It features dual Gigabit Ethernet ports, integrated Gigabit Ethernet, single and dual channel LVDS, analog RGB, and DVI. The board supports a wide range DC power input (8V to 24V) and includes a variety of I/O interfaces such as USB, SATA, PCIe, MiniCard socket, LPC, RS-232, RS-485, and digital IO. The operating temperature range is 0°C to 60°C (32°F to 140°F) with an operating humidity of 0% to 90% non-condensing. OS support depends on the CPU module used.'}"
MANO526-Q370 A20 Single Packing,
HPC-7400MB-70A1E,
MANO520PHGGA-H310 Gift Box,
EmETXe-i65M2-827E,
EmETXe-i77M2-3555LE,"{'name': 'Com Express Basic Type Cpu Module', 'manufacturer': 'Arbor Technology', 'form_factor': '125 x 95 mm', 'processor': 'Intel Core i7-3517UE, Intel Core i5-3610QE, Intel Core i3-3217UE', 'core_count': '6 cores for i7-13800HRE, 4 cores for i5-13600HRE', 'processor_tdp': 'Not available', 'memory': 'DDR3 SODIMM sockets supporting up to 16GB', 'io': '8 x USB ports, 4 x PCIe x1 Gen2 lanes, 2 x PCIe x4 Gen2 lanes, 4 x Serial ATA ports, 1 x LPC, 1 x SPI, 1 x SMBus, 1 x GPIO', 'operating_system': 'Not available', 'environmentals': 'Operating Temp: -40°C to 85°C, Operating Humidity: 10% to 90% non-condensing', 'certifications': 'Not available', 'short_summary': 'COM Express Basic Type CPU Module with 3rd Gen Intel Core processors and extensive I/O support.', 'full_summary': 'The COM Express Basic Type CPU Module features soldered onboard 3rd Gen Intel Core i7, i5, and i3 processors, integrated Gigabit Ethernet, dual channels 18/24-bit LVDS, analog RGB, and three DDI ports supporting independent displays. It supports RAID and Intel Active Management Technology (AMT).', 'full_product_description': 'The EmETXeiM COM Express Basic Type CPU Module from ARBOR Technology is equipped with soldered onboard 3rd Gen Intel Core i7-3517UE, i5-3610QE, and i3-3217UE processors. It features integrated Gigabit Ethernet, dual channels 18/24-bit LVDS, analog RGB, and three DDI ports for independent displays. The module supports RAID and Intel Active Management Technology (AMT). It includes 2 x DDR3 SODIMM sockets supporting up to 16GB of SDRAM, Intel PCH QM77 chipset, AMI UEFI BIOS, and a watchdog timer. I/O interfaces include 8 x USB ports, 4 x PCIe x1 Gen2 lanes, 2 x PCIe x4 Gen2 lanes, 4 x Serial ATA ports, 1 x LPC, 1 x SPI, 1 x SMBus, and 1 x GPIO. The module operates in temperatures ranging from -40°C to 85°C and humidity levels from 10% to 90% non-condensing. Dimensions are 125 x 95 mm.'}"
MM2-IP-DEVKIT,
UPN-ADLNI3-A10-1664,
MANO560-H-S S,
DEVKIT-ZVL128,
