name,ids,manufacturer,form_factor,processor,core_count,processor_tdp,memory,io,operating_system,environmentals,certifications,short_summary,full_summary,full_product_description
A Quad Core Tablet Processor,A33-OLinuXino-4GB,Allwinner Technology,"TFBGA 324 balls, 0.65mm ball pitch, 14x14 mm",ARM Cortex-A7,4,Not available,Supports up to 4GB DDR3/DDR3L SDRAM,"USB, SD/MMC, UART, SPI, TWI, GPIO, CSI, DSI, LVDS, Audio Codec",Android 5.0 Lollipop,Operating Temperature: -40°C to 85°C,Not available,"The Allwinner A is a power-efficient quad-core tablet processor based on ARM Cortex-A7 CPU architecture with Mali-400 MP2 GPU, offering high system integration and low power consumption.","The Allwinner A is a remarkably power-efficient quad-core tablet processor based on ARM Cortex-A7 CPU architecture along with Mali-400 MP2 GPU. It is highly competitive in terms of system cost due to its high system integration, capable of delivering excellent user experience while maintaining ultra-low power consumption. The processor supports high-definition 1080p video processing, various mainstream video standards, and a wide range of integrated I/Os.","The Allwinner A is a power-efficient quad-core tablet processor based on ARM Cortex-A7 CPU architecture and Mali-400 MP2 GPU. It offers high system integration, capable of delivering excellent user experience with ultra-low power consumption. Key features include support for high-definition 1080p video processing, various mainstream video standards (H.264, VP8, MPEG-1/2/4, JPEG/MJPEG), and a wide range of integrated I/Os such as USB, SD/MMC, UART, SPI, TWI, GPIO, CSI, DSI, LVDS, and Audio Codec. The processor also supports advanced features like hardware virtualization, LPAE, and DVFS for independent power domain management."
AE Mini PC,114110148,Aetina,Overall Size 100 mm x 87 mm,NVIDIA Jetson Xavier NX,6,15W,8 GB 128-bit LPDDR4x 1600 MHz 51.2 GB/s,"HDMI, USB Type-A, USB Type-C, Gigabit Ethernet, TF Card slot, RS232, RS485, CAN, SPI",Ubuntu with NVIDIA L4T,"Operating Temperature -25°C to 80°C, Storage Temperature -40°C to 85°C, Storage Humidity 95% non-condensing",NVIDIA-Certified Systems,"AE Mini PC is an embedded artificial intelligence computer with NVIDIA Jetson Xavier NX, offering high performance and rich interfaces.","AE Mini PC is an embedded artificial intelligence computer capable of empowering many end devices with 21 TOPS computing power. It features a fast, passive thermal design that meets industrial standards, including anti-vibration and anti-static properties. The AE Mini PC is equipped with the NVIDIA Jetson Xavier NX processor, 8 GB LPDDR4x memory, and offers a variety of interfaces such as HDMI, USB, Ethernet, and more.","The AE Mini PC is an embedded artificial intelligence computer designed to empower a wide range of end devices. It features the NVIDIA Jetson Xavier NX processor, providing 21 TOPS of AI performance. The device includes a passive thermal design that meets industrial standards for anti-vibration and anti-static properties. It comes with 8 GB of 128-bit LPDDR4x memory, 16 GB eMMC storage, and a variety of interfaces including HDMI, USB Type-A, USB Type-C, Gigabit Ethernet, TF Card slot, RS232, RS485, CAN, and SPI. The AE Mini PC runs on Ubuntu with NVIDIA L4T, and supports a wide range of AI and multimedia applications through the NVIDIA JetPack SDK."
AGS High Density GPU Server,AGS-923I-R18A1E,Advantech,2U,Intel Xeon E5-2600 v3,6 to 18 cores,85W to 145W,"DDR4 2133 MHz, up to 512GB","4x Gigabit Ethernet, 2x USB 3.0, 2x USB 2.0, 1x VGA, 1x COM","Windows, Linux","Operating Temperature: 0°C to 40°C, Non-operating Temperature: -40°C to 70°C, Operating Relative Humidity: 10% to 85% non-condensing, Non-operating Relative Humidity: 10% to 95% non-condensing","FCC Class A, RoHS Compliant",The AGS High Density GPU Server by Advantech is a 2U server designed for industrial applications requiring high computing power and multiple expansion slots. It supports Intel Xeon E5-2600 v3 processors and up to 512GB of DDR4 memory.,"The AGS High Density GPU Server by Advantech is a high-performance 2U server designed for industrial applications that require significant computing power and multiple expansion slots. It supports dual Intel Xeon E5-2600 v3 series processors, up to 512GB of DDR4 2133 MHz memory, and features four Gigabit Ethernet LAN ports. The server also includes advanced I/O capabilities such as USB 3.0, USB 2.0, VGA, and COM ports. It is suitable for harsh and demanding industrial environments, offering high reliability and ease of operation.","The AGS High Density GPU Server by Advantech is a robust 2U server designed for industrial applications that demand high computing power and extensive expansion capabilities. It supports dual Intel Xeon E5-2600 v3 series processors with 6 to 18 cores and a thermal design power (TDP) range of 85W to 145W. The server can accommodate up to 512GB of DDR4 2133 MHz memory across eight DIMM slots. It features four Gigabit Ethernet LAN ports, two USB 3.0 ports, two USB 2.0 ports, a VGA port, and a COM port. The server is equipped with redundant power supplies and supports various RAID configurations for enhanced data storage and reliability. It is designed to operate in temperatures ranging from 0°C to 40°C and can withstand non-operating temperatures from -40°C to 70°C. The AGS server is FCC Class A certified and RoHS compliant, making it an ideal choice for industrial server applications."
AGS U Server Grade IPC Computer,AGS-923I-R14A1E,Advantech,W x H x D: 437 x 43.5 x 450 mm,Intel Xeon E3-1200 v3 Series,Up to 36 cores,up to 360W,"DIMM DDR3 1600MHz, 32GB per DIMM","Front: 2x USB 2.0; Rear: 1x VGA, 2x USB 3.0, 2x GbE LAN",Microsoft® Windows® 7 Professional 32BIT,"Operating Temperature: 0-40°C (32-104°F), Operating Humidity: 10-85% non-condensing","IEC, FCC",AGS U Server Grade IPC Computer with Intel Xeon E3-1200 v3 Series processor and redundant power supply.,"The AGS U Server Grade IPC Computer features an Intel Xeon E3-1200 v3 Series processor, DIMM DDR3 1600MHz memory, and a redundant power supply. It supports various I/O interfaces including USB, VGA, and GbE LAN. The system is designed for reliable performance in a controlled environment.","The AGS U Server Grade IPC Computer by Advantech is equipped with an Intel Xeon E3-1200 v3 Series processor and supports up to 32GB of DIMM DDR3 1600MHz memory per DIMM. It features a variety of I/O interfaces including front USB ports and rear VGA, USB, and GbE LAN ports. The system is designed to operate within a temperature range of 0-40°C and humidity levels of 10-85% non-condensing. It includes a redundant power supply for enhanced reliability. The product complies with IEC and FCC standards, ensuring safety and performance."
AGX H Kit,110991666,NVIDIA,100mm x 87mm,Jetson AGX Xavier,8-Core,Under 30W,32 GB 256-Bit LPDDR4x,"HDMI, USB Type A, USB Type C, Gigabit Ethernet, M KEY M, M KEY E, Camera connectors, PCIe, TF Card Slot, RS232, CAN, GPIO, UART, SPI",JetPack,Operating Temperature: Not available,Not available,"The AGX H Kit carrier board is designed for NVIDIA Jetson AGX Xavier, providing multiple connectors and industry-standard pinouts for enhanced functionality.","The AGX H Kit carrier board is an official NVIDIA Jetson AGX Xavier carrier board that offers several connectors and industry-standard pinouts to support additional functionalities beyond the integrated main platform board. This includes HDMI, USB Type A, USB Type C, Gigabit Ethernet, M KEY M, M KEY E, Camera connectors, PCIe, TF Card Slot, RS232, CAN, GPIO, UART, and SPI interfaces.","The AGX H Kit carrier board is designed to be compatible with the NVIDIA Jetson AGX Xavier module. It features a variety of connectors and interfaces including HDMI, USB Type A, USB Type C, Gigabit Ethernet, M KEY M, M KEY E, Camera connectors, PCIe, TF Card Slot, RS232, CAN, GPIO, UART, and SPI. The board provides several industry-standard pinouts to support additional functionalities beyond the integrated main platform board. It is ideal for applications requiring high-performance computing and multiple I/O interfaces."
AI Edge Computing Kit,PICO-APL3-FAI1,AAEON,PicoITX,Intel Atom Processor SoC,Quad Core,Not available,Onboard DDR3L 4GB,"DIO, COM, LAN x2, USB 3.2 Gen 1 x2, HDMI, SATA, M.2 E Key, M.2 B Key","Windows 10 (64 bit), Linux Ubuntu 22.04.2 kernel 5.19.0-32","Operating Temperature: 32°F to 140°F (0°C to 60°C), Storage Temperature: -40°F to 185°F (-40°C to 85°C), Operating Humidity: 0% to 90% relative humidity, non-condensing","CE, FCC",AI Edge Computing Kit with Intel Atom Processor SoC and various I/O interfaces.,"The AI Edge Computing Kit features an Intel Atom Processor SoC, onboard DDR3L 4GB memory, and a variety of I/O interfaces including DIO, COM, LAN, USB, HDMI, and SATA. It is designed for edge computing applications with robust environmental specifications and certifications.","The AI Edge Computing Kit from AAEON is built on the PicoITX form factor and powered by an Intel Atom Processor SoC. It includes onboard DDR3L 4GB memory and supports a range of I/O interfaces such as DIO, COM, LAN, USB 3.2 Gen 1, HDMI, and SATA. The system is designed to operate in temperatures ranging from 32°F to 140°F (0°C to 60°C) and can be stored in temperatures from -40°F to 185°F (-40°C to 85°C). It also supports up to 90% relative humidity, non-condensing. The kit is CE and FCC certified, making it suitable for various industrial and edge computing applications."
AI Modular PC,FLEX-BX200-Q370-I3slash35-R10,Intel,2U,"Intel Core i3, Pentium, Xeon",up to 10-core,"35W, 80W","DDR4, up to 64GB","4x USB 3.1 Gen1, 1x HDMI, 2x GbE LAN, 2x RS232, 1x Mic, 1x Line-out, 2x PCIe x16, 2x PCIe x4, 4x Hot-swappable HDD bays",Not available,"Operating Temperature: 0°C to 50°C, Storage Temperature: -20°C to 70°C, Operating Humidity: 10% to 90% non-condensing",Not available,"AI Modular PC with Intel Core i3, Pentium, and Xeon processors, supporting up to 64GB DDR4 memory and various I/O interfaces.","The AI Modular PC supports Intel Core i3, Pentium, and Xeon processors, with up to 64GB DDR4 memory. It features multiple I/O interfaces including USB 3.1, HDMI, GbE LAN, RS232, and PCIe slots. The system is designed for flexible and high-performance computing needs.","The AI Modular PC is a versatile and high-performance computing solution that supports Intel Core i3, Pentium, and Xeon processors. It offers up to 64GB of DDR4 memory and features a range of I/O interfaces including 4x USB 3.1 Gen1, 1x HDMI, 2x GbE LAN, 2x RS232, 1x Mic, 1x Line-out, 2x PCIe x16, 2x PCIe x4, and 4x hot-swappable HDD bays. The system is designed to operate in a wide range of environmental conditions, with an operating temperature range of 0°C to 50°C and storage temperature range of -20°C to 70°C. It is ideal for applications requiring robust and flexible computing power."
AI Network Video Recorder,"MIC-710IVX-00A1,MIC-730IVA-00A1",Advantech,244 x 200 x 69 mm,NVIDIA Jetson Xavier NX,6,15W,8GB LPDDR4,"Ethernet x 1000 Mbps, PoE x 4, HDMI, USB 3.1 x 2, USB 2.0 x 2, RS-232, RS-485, Micro USB",Linux OS board support package (BSP),"Operating Temperature: 0-60°C, Operating Humidity: 10-95% non-condensing, Vibration: 1 Grms 5-500 Hz random, Shock: 10 Gms","CE, FCC, BSMI","AI Network Video Recorder with NVIDIA Jetson Xavier NX, supports PoE, HDMI, USB, and various I/O interfaces.","The AI Network Video Recorder is based on the NVIDIA Jetson Xavier NX processor, featuring 8GB LPDDR4 memory and 16GB eMMC storage. It supports multiple I/O interfaces including Ethernet, PoE, HDMI, USB, and serial ports. The system is designed for high-performance AI applications with support for Linux OS board support package (BSP) and Allxon remote monitoring.","The AI Network Video Recorder is designed for high-performance AI applications, leveraging the NVIDIA Jetson Xavier NX processor with 6-core NVIDIA Carmel ARM v8.2 64-bit CPU and 384-core NVIDIA Volta GPU with 48 Tensor Cores. It includes 8GB LPDDR4 memory and 16GB eMMC storage. The device supports various I/O interfaces such as Ethernet, PoE, HDMI, USB, and serial ports. It operates within a temperature range of 0-60°C and humidity range of 10-95% non-condensing. The system is certified with CE, FCC, and BSMI standards and supports Linux OS board support package (BSP) and Allxon remote monitoring for OTA deployment."
AIMB,"AIMB-286F-00A1E,AIMB-562VG-00A1E",Advantech,Mini ITX,"Intel Core i, Pentium, Celeron",up to 4,6 ~ 12W,"DDR4, up to 32GB","6 COM ports, 8 USB ports, 2 LAN ports, SATA, PCIe, HDMI, DP, LVDS, eDP",Not available,"Operating temperature: 0-60°C, Storage temperature: -40-85°C, Humidity: 95% non-condensing",FCC Class B,"AIMB is a Mini ITX motherboard designed by Advantech, supporting Intel Core i, Pentium, and Celeron processors with extensive I/O options.","The AIMB is a full-featured Mini ITX motherboard designed by Advantech for industrial applications requiring high performance and enhanced power management. It supports Intel Core i, Pentium, and Celeron processors, up to 32GB DDR4 memory, and offers extensive I/O connectivity including 6 COM ports, 8 USB ports, 2 LAN ports, SATA, PCIe, HDMI, DP, LVDS, and eDP.","The AIMB motherboard by Advantech is designed for industrial applications requiring high performance computing and enhanced power management capabilities. It supports Intel desktop Core i, Pentium, and Celeron processors with up to 32GB DDR4 memory. The motherboard features extensive I/O connectivity including 6 COM ports, 8 USB ports, 2 LAN ports, SATA, PCIe, HDMI, DP, LVDS, and eDP. It is built to operate in harsh environments with an operating temperature range of 0-60°C and storage temperature range of -40-85°C. The AIMB is FCC Class B certified and offers reliable performance in demanding industrial conditions."
AIMB Industrial Motherboard,AIMB-115I-S6A1E,Advantech,170 x 170 mm,Intel Atom E3825,2,6 ~ 12W,"Dual channel DDR3L 1333 MHz SDRAM, up to 8 GB","HDMI, Micro HDMI, Ethernet, USB 2.0, USB 3.0, Micro USB, Audio Line-out, Mic-in, DC jack, LVDS, Serial RS-232/422/485, SATA","Windows Embedded Standard 7, Windows Embedded Standard 8","Operating Temperature: -20°C to 70°C, Non-Operating Temperature: -40°C to 85°C",RoHS COMPLIANT 2002/95,"AIMB Industrial Motherboard with Intel Atom E3825 dual-core processor, supporting dual-channel DDR3L SDRAM, multiple display interfaces, and wide temperature range.","The AIMB Industrial Motherboard features an Intel Atom E3825 dual-core processor, dual-channel DDR3L 1333 MHz SDRAM support up to 8 GB, and multiple display interfaces including VGA, HDMI, Micro HDMI, and LVDS. It is designed for industrial applications with a wide operating temperature range and fanless solution.","The AIMB Industrial Motherboard by Advantech is equipped with an Intel Atom E3825 dual-core processor, supporting dual-channel DDR3L 1333 MHz SDRAM up to 8 GB. It offers a variety of I/O interfaces including HDMI, Micro HDMI, Ethernet, USB 2.0, USB 3.0, Micro USB, Audio Line-out, Mic-in, DC jack, LVDS, and Serial RS-232/422/485. The motherboard supports multiple display outputs and is designed for industrial applications with a wide operating temperature range from -20°C to 70°C. It also supports Windows Embedded Standard 7 and 8, making it suitable for various embedded applications."
