name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
INTELLIGENT INSPECTION SYSTEM,ADVANTECH,COMPACT VISION SYSTEM,False,x86,,INTEL,,"Dual Channel DDR4 2133 MHz non-ECC, Max Capacity 32 GB","Internal HDD Bay max 9.5 mm height, CFast",9-36 VDC,"['VGA', 'DVI-D', 'USB 3.0', 'USB 2.0', 'Serial RS-232/422/485', 'Isolated DIO']",,"['Windows 10 IoT Enterprise', 'Windows Embedded Standard 7']",60°C,-20°C,IEEE 802.3af compliant,"Compact vision system with Intel Core CPU, PoE, and USB interfaces.","The Intelligent Inspection System is a compact vision system featuring Intel's latest generation Core CPUs, multiple camera interfaces including PoE and USB, and robust I/O capabilities for industrial applications.","The Intelligent Inspection System by Advantech is designed for industrial applications requiring high-performance computing and versatile connectivity. It supports Intel's latest generation Core CPUs, offers dual-channel DDR4 memory, and provides multiple camera interfaces such as PoE and USB. The system is compliant with IEEE 802.3af standards and supports a wide range of operating temperatures, making it suitable for harsh environments.","['Industrial automation', 'Machine vision', 'Quality inspection']"
CAPARPHGVB,AXIOMTEK,Embedded SBC,False,x86,10-core,AMD,28W,"DDR4 SODIMM, 32GB",M.2 Key B SATA,12V DC,"['2x GbE LAN', '4x USB 3.1 Gen1', '2x DisplayPort', '2x HDMI', '1x LVDS', '2x COM', '1x M.2 Key E', '1x M.2 Key B']",5G with M.2 Key B socket,,60°C,-20°C,DO-178C/DO-254 certifiable,"Embedded SBC with AMD Ryzen V1807B APU, supporting multiple display interfaces and extensive I/O options.","The CAPARPHGVB is an embedded SBC featuring the AMD Ryzen Embedded V1807B APU, offering robust performance with support for quad-view display and a variety of I/O interfaces including DisplayPort, HDMI, LVDS, and multiple USB ports.","The CAPARPHGVB by Axiomtek is a high-performance embedded SBC powered by the AMD Ryzen Embedded V1807B APU. It supports up to 32GB of DDR4 SODIMM memory and offers a wide range of connectivity options including dual GbE LAN, multiple USB 3.1 Gen1 ports, and dual M.2 slots for expansion. The board is designed for industrial applications with a wide operating temperature range and robust build quality.","Industrial automation, digital signage, and embedded systems requiring high-performance computing and multiple display outputs."
SOM INTEL ATOM PENTIUM CELERON SERIES QSEVEN CPU MODULE,ADVANTECH,QSEVEN,True,X86,4,INTEL,6W to 12W,LPDDR4 8GB,eMMC 64GB,12V,"['USB 3.0', 'USB 2.0', 'PCIe', 'HDMI', 'DP', 'LVDS', 'Ethernet']",,"['Windows', 'Linux']",85°C,-40°C,,Intel Atom/Pentium/Celeron Qseven CPU module with onboard LPDDR4 and eMMC storage.,"The SOM Intel Atom/Pentium/Celeron Series Qseven CPU Module is designed for embedded applications, featuring Intel processors, onboard LPDDR4 memory, and eMMC storage. It supports multiple I/O interfaces including USB, PCIe, HDMI, and Ethernet.","This module is based on the Intel Atom, Pentium, and Celeron series SoCs, adhering to the Qseven specification. It includes up to 8GB of LPDDR4 memory and 64GB of eMMC storage. The module supports a wide range of interfaces such as USB 3.0, PCIe, HDMI, and Ethernet, making it suitable for various embedded applications. It operates in temperatures ranging from -40°C to 85°C.","['Embedded systems', 'Industrial automation', 'IoT devices']"
SOM B,ADVANTECH,ETX,True,x86,Single Core or Dual Core,INTEL,,"DDR3, Up to 2 GB","eMMC, Optional SSD","5V, 5VSB","['PATA, SATAII, USB, COM Ports, GPIO']",WiFi 802.11ac and BT 4.0,"['WinCE', 'Win XPE', 'QNX']",60°C,0°C,,"ETX CPU module with Intel Atom processor, supporting DDR3 memory and multiple I/O interfaces.","The SOM B is an ETX form factor CPU module featuring Intel Atom processors, supporting DDR3 memory up to 2 GB, and offering a range of I/O interfaces including PATA, SATAII, USB, and COM ports. It is suitable for embedded applications with a focus on flexibility and performance.","The SOM B module is designed for embedded applications, featuring Intel Atom N and D series processors with single and dual-core options. It supports DDR3 memory up to 2 GB and provides a variety of I/O interfaces such as PATA, SATAII, USB, and COM ports. The module operates within a temperature range of 0°C to 60°C and is compatible with operating systems like WinCE, Win XPE, and QNX.","['Embedded Systems', 'Industrial Automation', 'Digital Signage']"
LECBTS SMARC SHORT SIZE MODULE,ADLINK TECHNOLOGY INC,SMARC,False,X86,"Single, Dual, Quad",INTEL,5W to 10W,Up to 8GB DDR3L 1333MHz non-ECC,32GB eMMC,5V DC,"['4x USB 2.0', '2x SATA 3Gb/s', '1x PCIe x1', '1x PCIe x4', '1x GbE LAN', '1x HDMI', '1x LVDS']",5G connectivity,"['Linux', 'VxWorks', 'Windows', 'Windows Embedded Compact', 'QNX', 'Android']",85°C,-40°C,,"LECBTS SMARC Short Size Module with Intel Atom E Series SoC, supports up to 8GB DDR3L memory, multiple I/O interfaces, and extreme rugged operating temperatures.","The LECBTS SMARC Short Size Module features Intel Atom E Series SoC with single, dual, and quad-core options, up to 8GB DDR3L memory, and a variety of I/O interfaces including USB, SATA, PCIe, and GbE LAN. It supports multiple operating systems and is designed for extreme rugged environments with operating temperatures ranging from -40°C to 85°C.","The LECBTS SMARC Short Size Module by ADLINK Technology Inc is equipped with Intel Atom E Series processors, offering single, dual, and quad-core configurations. It supports up to 8GB of DDR3L 1333MHz non-ECC memory. The module includes a range of I/O interfaces such as 4x USB 2.0, 2x SATA 3Gb/s, 1x PCIe x1, 1x PCIe x4, 1x GbE LAN, 1x HDMI, and 1x LVDS. It is compatible with various operating systems including Linux, VxWorks, Windows, Windows Embedded Compact, QNX, and Android. Designed for extreme conditions, it operates within a temperature range of -40°C to 85°C.","['Industrial automation', 'Embedded systems', 'Rugged computing environments']"
PCM,ADVANTECH,SBC,False,x86,QuadCore,INTEL,6W/6W/12W/9W/6W up to 45W,"DDR3L SODIMM, Max 8GB",mSATA,12V DC,"['2x GbE', '4x USB', '2x RS-232/422/485', '1x HDMI', '1x VGA', '1x LVDS']",M.2 Key E for Wi-Fi,"Windows, Linux",60°C,-20°C,"CE, FCC","Embedded SBC with Intel Pentium/Celeron/Atom processors, rich I/O, and wide power input.","The PCM series offers a range of embedded single board computers featuring Intel Pentium, Celeron, and Atom processors. It supports DDR3L memory, multiple display outputs, and a variety of I/O interfaces including GbE, USB, and COM ports.","Advantech's PCM series SBCs are designed for embedded applications, offering flexibility with Intel processors, support for up to 8GB DDR3L memory, and comprehensive I/O options. The boards support multiple display interfaces, including HDMI and VGA, and provide expansion capabilities through mSATA and M.2 slots.","Industrial automation, digital signage, kiosks, and embedded systems."
AIMB,ADVANTECH,MICROATX,False,X86,4,INTEL,65W / 35W,8 GB DDR2 800 MHz SDRAM,3 x SATA III (Max. Data Transfer Rate 600 MB/s),12V,"['VGA', 'DVI', 'Ethernet', 'USB', 'Audio', 'Serial RS232', 'PS/2']",M.2 E key for wireless,"['Windows XP Embedded', 'Windows Embedded Standard']",60°C,0°C,"CE, FCC","Industrial motherboard with Intel Core Quad support, dual display, and extensive I/O options.","The AIMB motherboard supports Intel Core Quad processors, dual display outputs, and a variety of I/O interfaces including VGA, DVI, Ethernet, USB, and more. It is designed for industrial applications with robust performance and reliability.","The AIMB series industrial motherboard features Intel Core Quad, Duo, and Pentium processors, with support for dual-channel DDR2 800 MHz SDRAM up to 8 GB. It includes dual display capabilities via VGA and DVI, dual Gigabit Ethernet, and multiple expansion slots including PCIe and PCI. The board is equipped with comprehensive I/O options and is suitable for demanding industrial environments.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Networking']"
COM EXPRESS BASIC MODULE,ADVANTECH,COM EXPRESS BASIC,False,X86,"6/12, 4/8, 4/4, 2",INTEL,15W to 45W,"Dual DDR4, Max 32GB",Up to 64GB eMMC,12V,"['PCIe x16, PCIe x1, SATA III, USB 3.0, USB 2.0, GPIO, SMBus, I2C, Ethernet']",,"['Windows IoT', 'Linux']",85°C,-40°C,,"COM Express Basic Module with Intel Xeon/Core/Celeron processors, supporting dual DDR4 memory and various I/O interfaces.","The COM Express Basic Module features Intel Xeon/Core/Celeron processors, dual DDR4 memory support up to 32GB, and a range of I/O interfaces including PCIe, SATA, USB, and Ethernet. It is designed for industrial applications with extended temperature ranges.","This module is built on the COM Express Basic form factor, integrating Intel's latest Xeon/Core/Celeron processors. It supports dual-channel DDR4 memory up to 32GB, and offers extensive I/O options such as PCIe, SATA, USB, and Ethernet. The module is suitable for industrial environments, supporting a wide operating temperature range from -40°C to 85°C.","['Industrial Automation', 'Embedded Systems', 'Networking']"
AIMB-580,ADVANTECH,MINI-ITX,False,x86,4,INTEL,,8 GB DDR3 1333 MHz SDRAM,,12V,"['VGA', 'DVI', 'Ethernet', 'USB', 'Audio', 'Serial RS-232', 'PS/2']",,"['Windows XP Embedded', 'Windows Embedded Standard 7', 'Windows Embedded Standard 8']",60°C,0°C,,"Industrial motherboard supporting Intel Core i3/i5/i7, Pentium, and Celeron processors with dual display and extensive I/O options.","The AIMB-580 is an industrial-grade motherboard designed for high-performance applications, supporting Intel Core i3/i5/i7, Pentium, and Celeron processors. It features dual display support, multiple I/O interfaces, and is suitable for embedded applications.","The AIMB-580 motherboard by Advantech is built for industrial applications, offering support for Intel Core i3/i5/i7, Pentium, and Celeron processors. It includes dual display capabilities with VGA, DVI, and LVDS outputs, and a variety of I/O options such as USB, COM ports, and Ethernet. The board supports DDR3 memory up to 8GB and features expansion slots for PCIe and mSATA. It is designed to operate in temperatures ranging from 0°C to 60°C, making it suitable for various industrial environments.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Kiosks']"
CPU LOW POWER SBC NXP IMX,EUROTECH,SBC,False,ARM,"Single core, dual core, quad core",NXP,"Low power consumption, typical 5W",Up to 4GB DDR3,"Up to 64GB eMMC, 1x SATA, 1x microSD slot",9-36 VDC,"['2x Ethernet 10/100/1000 Mbps', '4x USB 2.0 Type A', '1x USB 2.0 Internal Header', '2x RS-232/422/485', '2x CAN bus', '1x PCI Express Mini Card Slot', '1x SPI', '1x I2C', '1x LVDS', '1x HDMI', '1x RGB', '1x Wire Resistive Touch Controller']","Wi-Fi, Bluetooth LE, GNSS, Zigbee","Linux, Yocto, WEC, Everyware Software Framework",85°C,-40°C,"RoHS, REACH","Low power SBC with NXP iMX processor, extensive I/O, and IoT capabilities.","The CPU Low Power SBC NXP iMX is designed for industrial and transportation applications, offering multicore processing, extensive I/O options, and integrated IoT support.","The CPU Low Power SBC NXP iMX is a single board computer featuring NXP iMX processors with options for single, dual, or quad-core configurations. It supports up to 4GB DDR3 RAM and up to 64GB eMMC storage. The board includes a wide range of interfaces such as Ethernet, USB, CAN bus, and video outputs like LVDS and HDMI. It is designed for low power consumption, typically around 5W, and supports a wide operating temperature range. The board is ideal for industrial and transportation applications, with integrated IoT capabilities and support for various operating systems.","Industrial, transportation, IoT applications"
