product_id,name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications,duplicate_ids
iW-G27S-SCQM-4L004G-E016G-BIC,IMX QUAD MAX QUAD PLUS PICO ITX SBC,IWAVE SYSTEMS,PICO ITX,False,ARM,6,NXP,,Up to 8GB LPDDR4,Up to 64GB eMMC,12V,"['USB 3.0', 'USB 2.0', 'HDMI', 'Ethernet', 'PCIe', 'CAN', 'UART', 'SPI', 'I2C', 'MIPI CSI', 'MIPI DSI', 'LVDS']","['Wi-Fi', 'Bluetooth']","['Linux', 'Android Pie', 'QNX']",85°C,-40°C,"['RoHS', 'REACH']","The iMX Quad Max Quad Plus Pico ITX SBC is a high-performance, compact single board computer designed for industrial and embedded applications.","The iMX Quad Max Quad Plus Pico ITX SBC integrates dual Cortex-A72 and Cortex-A53 cores, dual GPUs, and a VPU for enhanced multimedia capabilities. It supports up to 8GB LPDDR4 memory and 64GB eMMC storage, with extensive I/O options including USB, HDMI, Ethernet, and wireless connectivity.","The iMX Quad Max Quad Plus Pico ITX SBC is engineered for high-performance applications in industrial, automotive, and medical domains. It features a robust set of interfaces including dual Ethernet, multiple USB ports, PCIe, and advanced display outputs like HDMI and MIPI DSI. The board supports Linux, Android Pie, and QNX operating systems, making it versatile for various development needs.","['Remote Energy Management', 'Intelligent Edge', 'Augmented and Virtual Reality', '4K Media Streaming', 'Industrial Automation', 'Automotive eCockpit']","['iW-G27S-SCQM-4L004G-E016G-BIC', 'iW-G27S-SCQM-4L008G-E032G-BIC']"
conga-TC170slash3955U,CONGATC,CONGATEC,COM EXPRESS COMPACT,True,X86,2,INTEL,15W,Up to 32 GByte dual channel DDR4,Optional eMMC 5.1 on board mass storage,21 VDC,"['x PCI Express GEN 3 lanes', 'x Serial ATA Gen 3', 'x USB 3.0', 'x USB 2.0', 'LPC bus', 'I2C bus', 'x UART', 'Digital High Definition Audio Interface']",Available,"['Microsoft Windows', 'Microsoft Windows IoT Enterprise', 'Linux', 'Microsoft Windows Embedded Standard']",60°C,0°C,"FCC Class A, UL 94V0","Compact module with Intel Core processors, dual channel DDR4 memory, and extensive I/O options.","The congaTC is a COM Express Compact module featuring Intel Core i7/i5/i3 and Celeron processors, supporting dual channel DDR4 memory, and offering a wide range of I/O interfaces including PCIe, SATA, USB, and more.","The congaTC module is designed for high-performance applications, equipped with Intel's 6th generation Core processors and Celeron options. It supports up to 32 GByte of dual channel DDR4 memory, and provides a variety of interfaces such as PCIe, SATA, USB, and audio. The module is suitable for industrial and embedded applications, offering features like Intel Turbo Boost, Hyper-Threading, and virtualization technologies.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Medical devices', 'Gaming']",['conga-TC170slash3955U']
34012-0416-N1-2,COMEMEL E,KONTRON,COM EXPRESS MINI,True,X86,Up to 14 cores,INTEL,31W,UP TO 8 GBYTE LPDDR,UP TO 64 GBYTE EMMC,5V,"['Up to 2x USB 3.0, 8x USB 2.0, up to 4x serial interfaces or CAN bus']",Supports wireless technologies with miniature RF connectors for WLAN and Bluetooth,"['Windows', 'Linux', 'VxWorks']",85°C,-40°C,EN50155:2021 for Edge AI Platforms,"COM Express mini Type 10 module with Intel Atom, Pentium, and Celeron processors.","The COMemEL E is a COM Express mini Type 10 module featuring Intel Atom, Pentium, and Celeron processors, designed for low power and high performance in industrial applications.","The COMemEL E module is a compact, low-power solution optimized for industrial applications. It supports up to 8 GByte LPDDR memory with In-Band ECC, multiple USB ports, SATA, eMMC Flash, and optional GbE with TSN support. It is designed to operate in industrial temperature ranges and supports various operating systems including Windows, Linux, and VxWorks.","['Industrial', 'Embedded Systems']","['34012-0416-N1-2', '34012-0432-J2-4', '34013-0416-R1-2', '34013-0432-R1-4', '34013-0832-R2-4']"
conga-TCA7slashi-x6212RE,CONGATCA,CONGATEC,COM EXPRESS COMPACT,False,X86,4,INTEL,6W,"DDR4 SODIMM, 3200 MT/s, up to 32GB","eMMC, 64GB",,"['PCIe, USB, SATA, UART, CAN, GPIO']",,"['Microsoft Windows IoT Enterprise', 'Linux Yocto', 'RTS RealTime Hypervisor']",85°C,-40°C,,"COM Express Compact module with Intel Atom, Pentium, and Celeron processors, supporting industrial temperature ranges.","The congaTCA is a COM Express Compact module featuring Intel Atom xE, Pentium, and Celeron processors, designed for industrial applications with support for DDR4 SODIMM memory, eMMC storage, and a wide range of I/O interfaces.","The congaTCA module by congatec is built on the COM Express Compact form factor, integrating Intel Atom xE, Pentium, and Celeron processors. It supports dual-channel DDR4 SODIMM memory up to 32GB, onboard eMMC storage, and various I/O interfaces including PCIe, USB, SATA, UART, CAN, and GPIO. The module is suitable for industrial applications with an operating temperature range from -40°C to 85°C. It supports multiple operating systems including Microsoft Windows IoT Enterprise and Linux Yocto.","['Industrial', 'Embedded Systems', 'IoT']","['conga-TCA7slashi-x6212RE', 'conga-TCA7slashi-x6414RE', 'conga-TCA7slashi-x6425RE', 'conga-TCA7slashJ6413', 'conga-TCA7slashJ6426', 'conga-TCA7slashx6211E', 'conga-TCA7slashx6413E', 'conga-TCA7slashx6425E']"
MIC-7700H-00A1,MIC,ADVANTECH,Compact Fanless System,False,x86,24C,INTEL,35W,"Dual-channel DDR3 1600 MHz, up to 16GB","HDD, CFast, mSATA",9-36VDC,"['4x USB 3.0, 4x USB 2.0, 6x COM, 2x LAN']","WiFi Module 802.11 a/b/g/n/ac 2T2R w/BT5.1, Intel AC9260",Embedded OS,60°C,-20°C,"['CE', 'FCC Class A', 'CCC', 'BSMI', 'UL', 'RoHS']","Compact fanless system with Intel Core CPU, multiple I/O ports, and wide input voltage range.","The MIC series is a compact fanless system featuring Intel's 4th and 5th Gen Core CPUs, supporting a wide range of I/O interfaces and expansion modules, suitable for industrial applications.","The MIC series by Advantech is designed for industrial applications, offering a compact fanless design with Intel Core processors. It supports a variety of I/O interfaces including USB, COM, and LAN ports, and offers flexible storage options with HDD, CFast, and mSATA. The system is certified with CE, FCC, CCC, BSMI, UL, and RoHS standards, ensuring compliance and reliability in various environments.","['Industrial Automation', 'Embedded Systems', 'IoT Gateways']","['MIC-7700H-00A1', 'MIC-7700Q-00A1']"
S26361-F5120-V175,DB MSTX EXTENDED LIFECYCLE SERIES,KONTRON,MINISTX,False,Alder Lake N,4,INTEL,35W,"DDR4 SDRAM, max 64 GByte",M.2 SSD PCIe x4 based,19V,"['4 x USB 3.1 Gen 1', '2 x USB 2.0', '1 x HDMI', '1 x DisplayPort', '1 x LAN RJ45']","WLAN, Bluetooth","['Windows', 'Linux']",40°C,0°C,"['FCC B', 'CE Class B']","The DB mSTX Extended Lifecycle Series is a compact, powerful motherboard designed for thin and tiny box PCs, supporting Intel's latest processors.","The DB mSTX Extended Lifecycle Series offers a versatile platform with support for Intel's latest Core, Pentium, and Celeron processors. It features flexible TDP options, multiple video outputs, and robust connectivity options, making it suitable for both office and industrial applications.","The DB mSTX Extended Lifecycle Series motherboard is designed for longevity and performance, featuring Intel's H Express Chipset and support for 8th Gen Core processors. It includes dual-channel DDR4 memory support, multiple USB and video outputs, and onboard storage options. The board is equipped with Realtek LAN, TPM 2.0, and various expansion slots, making it ideal for a range of applications.","['Office applications', 'Industrial applications']",['S26361-F5120-V175']
conga-QA5slashE3930-2G eMMC16,CONGA-QA,CONGATEC,QSEVEN,True,X86,Quad Core,INTEL,6W,8GB DDR3L,64GB eMMC,5V,"['Multiple USB, PCIe, SATA, Ethernet']",,"['Microsoft Windows IoT Enterprise', 'Microsoft Windows IoT Core', 'Linux Yocto']",85°C,-40°C,CE,High-performance Qseven module with Intel Atom processor.,"The CONGA-QA is a high-performance Qseven module featuring Intel Atom processors, supporting up to 8GB DDR3L memory and 64GB eMMC storage. It is designed for industrial applications with a wide operating temperature range.","The CONGA-QA module by Congatec offers a robust solution for embedded systems, equipped with Intel Atom processors and a variety of I/O interfaces including USB, PCIe, and SATA. It supports high-definition graphics and multiple operating systems, making it suitable for a range of industrial applications.","['Industrial Automation', 'Embedded Systems', 'IoT Devices']","['conga-QA5slashE3930-2G eMMC16', 'conga-QA5slashE3940-4G eMMC16', 'conga-QA5slashE3950-4G eMMC16', 'conga-QA5slashE3950-8G eMMC32', 'conga-QA5slashi-E3930-2G eMMC16', 'conga-QA5slashi-E3940-4G eMMC16', 'conga-QA5slashi-E3950-8G eMMC32', 'conga-QA5slashN3350-4G eMMC16']"
AIIS-3400P-00A1E,INTELLIGENT INSPECTION SYSTEM,ADVANTECH,COMPACT VISION SYSTEM,False,x86,,INTEL,,"Dual Channel DDR4 2133 MHz non-ECC, Max Capacity 32 GB","Internal HDD Bay max 9.5 mm height, CFast",9-36 VDC,"['VGA', 'DVI-D', 'USB 3.0', 'USB 2.0', 'Serial RS-232/422/485', 'Isolated DIO']",,"['Windows 10 IoT Enterprise', 'Windows Embedded Standard 7']",60°C,-20°C,IEEE 802.3af compliant,"Compact vision system with Intel Core CPU, PoE, and USB interfaces.","The Intelligent Inspection System is a compact vision system featuring Intel's latest generation Core CPUs, multiple camera interfaces including PoE and USB, and robust I/O capabilities for industrial applications.","The Intelligent Inspection System by Advantech is designed for industrial applications requiring high-performance computing and versatile connectivity. It supports Intel's latest generation Core CPUs, offers dual-channel DDR4 memory, and provides multiple camera interfaces such as PoE and USB. The system is compliant with IEEE 802.3af standards and supports a wide range of operating temperatures, making it suitable for harsh environments.","['Industrial automation', 'Machine vision', 'Quality inspection']","['AIIS-3400P-00A1E', 'AIIS-3400P-00B1', 'AIIS-3400U-00A1E', 'AIIS-3400U-00B1']"
CAPA13RPH4G-V1605B,CAPARPHGVB,AXIOMTEK,Embedded SBC,False,x86,10-core,AMD,28W,"DDR4 SODIMM, 32GB",M.2 Key B SATA,12V DC,"['2x GbE LAN', '4x USB 3.1 Gen1', '2x DisplayPort', '2x HDMI', '1x LVDS', '2x COM', '1x M.2 Key E', '1x M.2 Key B']",5G with M.2 Key B socket,,60°C,-20°C,DO-178C/DO-254 certifiable,"Embedded SBC with AMD Ryzen V1807B APU, supporting multiple display interfaces and extensive I/O options.","The CAPARPHGVB is an embedded SBC featuring the AMD Ryzen Embedded V1807B APU, offering robust performance with support for quad-view display and a variety of I/O interfaces including DisplayPort, HDMI, LVDS, and multiple USB ports.","The CAPARPHGVB by Axiomtek is a high-performance embedded SBC powered by the AMD Ryzen Embedded V1807B APU. It supports up to 32GB of DDR4 SODIMM memory and offers a wide range of connectivity options including dual GbE LAN, multiple USB 3.1 Gen1 ports, and dual M.2 slots for expansion. The board is designed for industrial applications with a wide operating temperature range and robust build quality.","Industrial automation, digital signage, and embedded systems requiring high-performance computing and multiple display outputs.","['CAPA13RPH4G-V1605B', 'CAPA13RPH4G-V1807B', 'CAPA13RPHGG-V1605B wslashfan', 'CAPA13RPHGG-V1807B wslashfan']"
SOM-3569CN0C-S1A1,SOM INTEL ATOM PENTIUM CELERON SERIES QSEVEN CPU MODULE,ADVANTECH,QSEVEN,True,X86,4,INTEL,6W to 12W,LPDDR4 8GB,eMMC 64GB,12V,"['USB 3.0', 'USB 2.0', 'PCIe', 'HDMI', 'DP', 'LVDS', 'Ethernet']",,"['Windows', 'Linux']",85°C,-40°C,,Intel Atom/Pentium/Celeron Qseven CPU module with onboard LPDDR4 and eMMC storage.,"The SOM Intel Atom/Pentium/Celeron Series Qseven CPU Module is designed for embedded applications, featuring Intel processors, onboard LPDDR4 memory, and eMMC storage. It supports multiple I/O interfaces including USB, PCIe, HDMI, and Ethernet.","This module is based on the Intel Atom, Pentium, and Celeron series SoCs, adhering to the Qseven specification. It includes up to 8GB of LPDDR4 memory and 64GB of eMMC storage. The module supports a wide range of interfaces such as USB 3.0, PCIe, HDMI, and Ethernet, making it suitable for various embedded applications. It operates in temperatures ranging from -40°C to 85°C.","['Embedded systems', 'Industrial automation', 'IoT devices']","['SOM-3569CN0C-S1A1', 'SOM-3569CN0C-S2A1', 'SOM-3569CN0C-S3A1', 'SOM-3569CN0C-S6A1', 'SOM-3569CNBC-S7A1']"
