id,config,extracted_data,usage_data,raw_data_length
EmNANO-i2300-E3825,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'EMNANOIE', 'manufacturer': 'ARBOR TECHNOLOGY', 'form_factor': 'COM Express Mini', 'evaluation_or_commercialization': True, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': '4GB DDR3L SDRAM', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': ['4 x USB ports', '1 x USB port', '2 x Serial Ports', '2 x PCIe x1 Gen2 lanes', '1 x SPI', '1 x LPC', '2 x Serial ATA ports', '1 x SDIO', '1 x I2C', '1 x HD Audio'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'short_summary': 'Intel Atom E series processor COM Express Mini Type CPU Module with soldered onboard Intel Atom E series SoC processor.', 'full_summary': 'The EMNANOIE is a COM Express Mini Type CPU Module featuring an Intel Atom E series processor, integrated Gigabit Ethernet, dual independent display support, and extended operating temperature range.', 'full_product_description': 'The EMNANOIE is a COM Express Mini Type CPU Module powered by an Intel Atom E series processor. It includes soldered onboard 4GB DDR3L SDRAM, integrated Gigabit Ethernet, multiple USB and serial ports, PCIe lanes, SPI, LPC, and SATA interfaces. It supports dual independent displays with DDI and LVDS ports, and operates within an extended temperature range.', 'target_applications': 'Not Available'}","{'extract_features': [{'input_tokens': 1087, 'output_tokens': 738, 'time_taken': 7.602741003036499}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.7111527919769287}]}",2003
conga-B7XDslashP-D1508,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONGABXD', 'manufacturer': 'CONGATEC', 'form_factor': 'COM EXPRESS BASIC 125 X 95 MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'X86', 'processor_core_count': 'UP TO 16 CORES', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'UP TO 65W', 'memory': 'DUAL CHANNEL DDR4 2400 MT/S, UP TO 64GB, ECC SUPPORT', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': ['4x USB 3.0', '8x USB 2.0', '4x SATA III', '1x LPC', '1x SPI', '1x I2C', '2x UART', '1x SMBus', '2x GbE KR'], 'wireless': 'Not Available', 'operating_system_bsp': ['WINDOWS 10', 'WINDOWS SERVER 2016', 'WINDOWS SERVER 2019', 'RHEL', 'SUSE', 'FEDORA', 'UBUNTU', 'CENTOS', 'FREEBSD', 'VMWARE', 'HYPERV', 'XEN', 'ESXI'], 'operating_temperature_max': '85°C', 'operating_temperature_min': '-40°C', 'certifications': 'Not Available', 'short_summary': 'COM Express Type 7 module with Intel Xeon D processors, up to 16 cores, dual channel DDR4 memory, and extensive I/O options.', 'full_summary': 'The conga-BXD is a COM Express Type 7 module featuring Intel Xeon D processors with up to 16 cores, dual channel DDR4 memory with ECC support, and a wide range of I/O interfaces including USB, SATA, PCIe, and Ethernet. It is designed for industrial and server-class applications with extended temperature ranges.', 'full_product_description': 'The conga-BXD COM Express Type 7 module is equipped with Intel Xeon D processors, offering up to 16 cores and 65W TDP. It supports dual channel DDR4 2400 MT/s memory up to 64GB with ECC. The module includes extensive I/O options such as 4x USB 3.0, 8x USB 2.0, 4x SATA III, 2x GbE KR, and various other interfaces. It is suitable for industrial and server-class applications, supporting a wide range of operating systems and featuring robust management and security capabilities.', 'target_applications': ['INDUSTRIAL AUTOMATION', 'SERVER-CLASS APPLICATIONS', 'NETWORKING', 'TELECOMMUNICATIONS', 'EDGE COMPUTING']}","{'extract_features': [{'input_tokens': 2649, 'output_tokens': 961, 'time_taken': 10.657446146011353}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.7652499675750732}]}",8169
NANO-ADL-P-i5C-R10,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'NANOADLP', 'manufacturer': 'IEI', 'form_factor': 'EPIC SBC', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'Intel', 'processor_tdp': 'Not Available', 'memory': '8GB LPDDR4x 4266MHz', 'onboard_storage': 'Not Available', 'input_voltage': '12V DC', 'io_count': ['2x HDMI', '2x DP', '2x USB 3.2 Gen 2', '2x USB 2.0', '2x SATA 6Gb/s', '2x RS-232', '2x RS-422/485', '2x GbE LAN', '1x M.2 A Key', '1x M.2 B Key', '1x PCIe x4', '1x PCIe x1'], 'wireless': 'WiFi, Bluetooth', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '60°C', 'operating_temperature_min': '-20°C', 'certifications': ['CE', 'FCC', 'RoHS'], 'short_summary': 'High-performance EPIC SBC with Intel Alder Lake-P processor, supporting multiple I/O interfaces and quad display output.', 'full_summary': 'The NANOADLP is an EPIC SBC featuring Intel Alder Lake-P processors, offering high performance and multitasking capabilities. It supports up to 8GB LPDDR4x memory, multiple I/O interfaces including HDMI, DP, USB, SATA, and PCIe, and is capable of driving four independent displays.', 'full_product_description': 'The NANOADLP EPIC SBC supports Intel Alder Lake-P processors, including Core i3, i5, i7, and Celeron variants. It comes with 8GB of LPDDR4x 4266MHz memory onboard. The board features a variety of I/O interfaces such as HDMI, DP, USB 3.2 Gen 2, USB 2.0, SATA 6Gb/s, RS-232, RS-422/485, and dual GbE LAN ports. Expansion options include M.2 A Key, M.2 B Key, and PCIe slots. The board supports quad display output and is designed for industrial applications with an operating temperature range of -20°C to 60°C.', 'target_applications': ['Industrial Automation', 'Digital Signage', 'Medical Devices', 'Transportation', 'IoT Gateways']}","{'extract_features': [{'input_tokens': 1923, 'output_tokens': 920, 'time_taken': 8.449218034744263}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.765138864517212}]}",4364
81P-0001,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONTROL BOARD', 'manufacturer': 'GRAVES ELECTRONICS LLC', 'form_factor': 'Not Available', 'evaluation_or_commercialization': 'False', 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'MICROCHIP', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'Not Available', 'input_voltage': '7-24V DC', 'io_count': '8 IO channels, 4 MOSFET outputs', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'short_summary': 'A versatile control board designed for industrial applications with RS232/RS485 communication, multiple IO channels, and MOSFET outputs.', 'full_summary': 'The control board is a unique platform bridging the gap between hobbyist maker boards and custom-designed circuit boards. Built around the powerful PIC18F45K22 microcontroller chip from Microchip, it offers features expected from an industrial controller board, including RS232/RS485 communication, eight IO lines, analog and digital inputs/outputs, and four dedicated MOSFET outputs.', 'full_product_description': 'The control board from Graves Electronics LLC is designed for industrial applications, featuring a Microchip PIC18F45K22 microcontroller. It includes standard RS232 and RS485 communication ports, eight IO channels that can be configured as analog or digital inputs/outputs, and four MOSFET outputs capable of driving 1A DC loads. The board supports SPI and I2C communication for expansion modules and comes with pluggable headers for easy installation and maintenance. The input voltage range is 7-24V DC, and the board is equipped with various protection features including fuses and protection diodes.', 'target_applications': ['Industrial control', 'Automation', 'Custom circuit design']}","{'extract_features': [{'input_tokens': 3931, 'output_tokens': 753, 'time_taken': 14.088125944137573}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.949512004852295}]}",16261
ESRP-CMS-U2271V2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ESRPCMSUV', 'manufacturer': 'ADVANTECH', 'form_factor': 'PocketSize', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 2, 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': '4GB DDR3 1600MHz onboard', 'onboard_storage': 'Not Available', 'input_voltage': '12VDC', 'io_count': ['2x RJ45 LAN Ports', '2x USB 3.1 Gen 1', '1x HDMI'], 'wireless': 'Not Available', 'operating_system_bsp': 'ThinManager', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': ['CE', 'FCC', 'UL', 'CCC', 'BSMI', 'RoHS'], 'short_summary': 'Advantech ESRP-CMSUV is a ThinManager Ready, pocket-sized edge IoT thin client with Intel Celeron N processor.', 'full_summary': 'Advantech ESRP-CMSUV is a ThinManager Ready, pocket-sized edge IoT thin client featuring an Intel Celeron N dual-core processor, 4GB DDR3 memory, and multiple I/O interfaces including 2x RJ45 LAN ports, 2x USB 3.1 Gen 1, and 1x HDMI. It is designed for industrial applications with robust, fanless, and cable-free system architecture.', 'full_product_description': 'The Advantech ESRP-CMSUV is a compact, robust, fanless, and cable-free system designed for industrial applications. It features an Intel Celeron N dual-core processor, 4GB DDR3 1600MHz onboard memory, and multiple I/O interfaces including 2x RJ45 LAN ports, 2x USB 3.1 Gen 1, and 1x HDMI. The system is ThinManager Ready, allowing it to integrate seamlessly with ThinManager software for distributed applications. It supports various mounting options including stand, wall, VESA, and DIN rail mounts. The device is certified with CE, FCC, UL, CCC, BSMI, and RoHS compliance.', 'target_applications': ['Industrial Automation', 'Edge Computing', 'IoT Applications']}","{'extract_features': [{'input_tokens': 1036, 'output_tokens': 862, 'time_taken': 10.563512086868286}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.14375901222229}]}",2122
SCMD30XP2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'STRATO PI CM DUO', 'manufacturer': 'SFERA LABS', 'form_factor': 'DIN RAIL CASE', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'BROADCOM', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'eMMC', 'input_voltage': '9-28 VDC', 'io_count': ['ETHERNET PORT', 'TWO USB TYPE-A PORTS', 'RS232 INTERFACE', 'DUAL MICROSD CARD SLOTS'], 'wireless': 'Not Available', 'operating_system_bsp': ['RASPBIAN'], 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': ['CE', 'FCC', 'RCM'], 'short_summary': 'A powerful, compact industrial server based on the Raspberry Pi Compute Module, suitable for professional industrial applications.', 'full_summary': 'Strato Pi CM Duo is a powerful, compact industrial server based on the Raspberry Pi Compute Module, designed for professional industrial applications where reliability and service continuity are key requirements. It is housed in a compact DIN rail case and available in several versions with pre-installed Raspberry Pi Compute Modules.', 'full_product_description': 'Strato Pi CM Duo is a powerful, compact industrial server based on the Raspberry Pi Compute Module, suitable for professional industrial applications where reliability and service continuity are key requirements. It is housed in a compact DIN rail case and available in several versions with pre-installed Raspberry Pi Compute Modules. The device features a 9-28 VDC power supply with surge and reverse polarity protection, a replaceable CR2032 lithium manganese dioxide backup battery, an RS232 interface, an Ethernet port, two USB type-A ports, and dual microSD card architecture. The microcontroller manages a hardware watchdog and a secure element chip for enhanced security.', 'target_applications': ['INDUSTRIAL AUTOMATION', 'REMOTE MONITORING', 'DATA LOGGING', 'SECURE COMMUNICATIONS']}","{'extract_features': [{'input_tokens': 3752, 'output_tokens': 785, 'time_taken': 10.093662977218628}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.0613529682159424}]}",32061
LEC-iMX8MP-Q-N-2G-32G-BW-CT,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'LECIMXMP SMARC SHORT SIZE MODULE', 'manufacturer': 'ADLINK TECHNOLOGY INC', 'form_factor': 'SMARC SHORT SIZE MODULE 82MM X 50MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': '4', 'processor_manufacturer': 'NXP', 'processor_tdp': 'Not Available', 'memory': '4GB LPDDR4', 'onboard_storage': '64GB EMMC', 'input_voltage': '5V DC', 'io_count': ['USB 2.0 x 4', 'USB 3.0 x 2', 'Dual GbE ports', 'CAN x 2', 'PCIe x 2', 'UART x 3', 'SPI x 2', 'I2C x 4', 'GPIO x 12'], 'wireless': ['Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth 5.0'], 'operating_system_bsp': ['Yocto Linux BSP', 'Android BSP', 'VxWorks BSP'], 'operating_temperature_max': '85°C', 'operating_temperature_min': '-40°C', 'certifications': ['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F'], 'short_summary': 'LECIMXMP SMARC Short Size Module with NXP i.MX8M Plus Quad-core ARM Cortex-A53, 4GB LPDDR4, 64GB eMMC, and rugged operating temperature range.', 'full_summary': 'The LECIMXMP SMARC Short Size Module features the NXP i.MX8M Plus Quad-core ARM Cortex-A53 processor, 4GB LPDDR4 memory, 64GB eMMC storage, and supports a wide range of I/O interfaces including USB, CAN, PCIe, UART, SPI, and I2C. It is designed for rugged environments with an operating temperature range of -40°C to 85°C.', 'full_product_description': 'The LECIMXMP SMARC Short Size Module by ADLINK Technology Inc. is powered by the NXP i.MX8M Plus Quad-core ARM Cortex-A53 processor. It includes 4GB of LPDDR4 memory and 64GB of eMMC storage. The module supports a variety of I/O interfaces such as USB 2.0, USB 3.0, dual GbE ports, CAN, PCIe, UART, SPI, and I2C. It also features wireless capabilities with Wi-Fi 802.11 a/b/g/n/ac and Bluetooth 5.0. The module is compliant with SMARC specifications and is designed for rugged environments with an operating temperature range from -40°C to 85°C. It supports multiple operating systems including Yocto Linux BSP, Android BSP, and VxWorks BSP.', 'target_applications': ['Industrial Automation', 'IoT Gateways', 'Smart Cities', 'Healthcare Devices', 'Multimedia Applications']}","{'extract_features': [{'input_tokens': 2167, 'output_tokens': 1031, 'time_taken': 9.755321025848389}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.4403860569000244}]}",5653
uLCD-220RD-Pi,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ULCDRD', 'manufacturer': 'D SYSTEMS', 'form_factor': 'Round LCD, 30mm diameter', 'evaluation_or_commercialization': 'False', 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'D SYSTEMS', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'microSD memory cards', 'input_voltage': 'Not Available', 'io_count': 'Multiple TTL Serial, I2C, SPI channels, PWM, Pulse Out, Quadrature Input, Analog Inputs', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'short_summary': ""The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems' DIABLO Graphics Processor."", 'full_summary': ""The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems' DIABLO Graphics Processor, designed for applications such as gauges, instruments, and robotics. It features a 30mm diameter round LCD with 240x240 pixels and various I/O capabilities."", 'full_product_description': ""The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems' DIABLO Graphics Processor. Designed for applications such as gauges, instruments, and robotics, the Round LCD uLCDRD has a diameter of 30mm and a resolution of 240x240 pixels. The DIABLO processor enables standalone functionality and can be programmed using D Systems' Workshop IDE Software. The module includes features such as PWM Sound, microSD memory storage, general-purpose I/O including Analog Inputs, multiple TTL Serial, I2C, SPI channels, and multiple millisecond resolution timers."", 'target_applications': ['Gauges', 'Instruments', 'Robotics']}","{'extract_features': [{'input_tokens': 1044, 'output_tokens': 751, 'time_taken': 7.639291286468506}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.1256132125854492}]}",2453
ASMB-975-00A1,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ASMB', 'manufacturer': 'ADVANTECH', 'form_factor': 'Proprietary 305 x 330 mm', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': '205W', 'memory': 'Maximum 768GB ECC LRDIMM, Maximum 384GB ECC RDIMM, DDR4 2666MHz', 'onboard_storage': 'Not Available', 'input_voltage': '12V, 5V, 3.3V, 5Vsb', 'io_count': ['8 x PCIe x16 slots', '2 x USB 3.0 ports', '2 x USB 2.0 ports', '1 x VGA port', '2 x RJ45 LAN ports'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '40°C', 'operating_temperature_min': '0°C', 'certifications': 'Not Available', 'short_summary': 'Proprietary server board with dual Intel Xeon Scalable processors, DDR4 support, and multiple PCIe slots.', 'full_summary': 'The ASMB is a proprietary server board designed by Advantech, featuring dual Intel Xeon Scalable processors, support for up to 768GB ECC LRDIMM or 384GB ECC RDIMM DDR4 memory, and multiple PCIe slots for extensive expansion capabilities.', 'full_product_description': 'The ASMB server board by Advantech is built to support dual Intel Xeon Scalable processors with a TDP of up to 205W. It offers extensive memory support with up to 768GB ECC LRDIMM or 384GB ECC RDIMM DDR4 2666MHz. The board includes 8 PCIe x16 slots, 2 USB 3.0 ports, 2 USB 2.0 ports, 1 VGA port, and 2 RJ45 LAN ports. It operates within a temperature range of 0°C to 40°C and requires input voltages of 12V, 5V, 3.3V, and 5Vsb.', 'target_applications': 'Server applications, Data centers, High-performance computing'}","{'extract_features': [{'input_tokens': 1856, 'output_tokens': 839, 'time_taken': 10.931024312973022}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.8834848403930664}]}",4503
DS-081GB-U2A1E,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'DS ULTRASLIM FANLESS DIGITAL SIGNAGE PLAYER', 'manufacturer': 'ADVANTECH', 'form_factor': 'ULTRASLIM, 19 MM THICK', 'evaluation_or_commercialization': False, 'processor_architecture': 'X86', 'processor_core_count': '2', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': 'DDR3, 16 GB MAX', 'onboard_storage': 'MSATA, SATA III', 'input_voltage': '12V DC-IN', 'io_count': ['HDMI x2', 'USB x4', 'RJ45 LAN x2', 'RS232 x2', 'SPDIF', 'MIC-IN', 'LINE-OUT'], 'wireless': 'Optional Wi-Fi, Optional HSDPA', 'operating_system_bsp': ['WINDOWS EMBEDDED', 'LINUX'], 'operating_temperature_max': '60°C', 'operating_temperature_min': '0°C', 'certifications': ['CE', 'FCC CLASS B', 'CCC', 'BSMI', 'UL'], 'short_summary': 'DS Ultraslim Fanless Digital Signage Player with Intel Core and Celeron processors, dual HDMI output, fanless design, and highly expandable via MiniPCIe.', 'full_summary': ""The DS Ultraslim Fanless Digital Signage Player is the world's slimmest digital signage player, powered by 6th and 7th Generation Intel Core and Intel Celeron Mobile-U processors. It features dual HDMI display output with up to 4K UHD resolution, fanless and cableless design for easy maintenance, and is highly expandable via internal MiniPCIe interface. It supports Windows Embedded OS and Linux, and comes with Advantech WISE-PaaS/SignageCMS web-based content management software."", 'full_product_description': 'The DS Ultraslim Fanless Digital Signage Player, measuring only 19mm thick, is designed for space-limited installations. It is powered by 6th and 7th Generation Intel Core and Intel Celeron Mobile-U processors, offering premium visual experience with dual HDMI display output capable of 4K UHD resolution. The fanless and cableless design ensures easy maintenance, while the internal MiniPCIe interface allows for high expandability. It supports Windows Embedded OS and Linux, and includes Advantech WISE-PaaS/SignageCMS for web-based content management. The player also features multiple I/O interfaces including HDMI, USB, RJ45 LAN, RS232, SPDIF, MIC-IN, and LINE-OUT. Optional wireless capabilities include Wi-Fi and HSDPA. Certifications include CE, FCC Class B, CCC, BSMI, and UL.', 'target_applications': ['Digital Signage', 'Retail', 'Hospitality', 'Transportation', 'Corporate Communications']}","{'extract_features': [{'input_tokens': 1404, 'output_tokens': 984, 'time_taken': 13.299354076385498}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.6621608734130859}]}",3380
