id,config,extracted_data,usage_data,raw_data_length
EmNANO-i2300-E3825,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'EMNANOIE', 'manufacturer': 'ARBOR TECHNOLOGY', 'form_factor': 'COM Express Mini', 'evaluation_or_commercialization': True, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': '4GB DDR3L SDRAM', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': ['4 x USB ports', '1 x USB port', '1 x Serial port', '2 x Serial ATA ports', '1 x PCIe x1 Gen2 lanes', '1 x PCIe x4 lanes'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Intel Atom E series processor COM Express Mini Type CPU Module with soldered onboard Intel Atom E series SoC processor.', 'full_summary': 'The EMNANOIE is a COM Express Mini Type CPU Module featuring an Intel Atom E series processor, integrated Gigabit Ethernet, dual independent display support, and extended operating temperature range.', 'full_product_description': 'The EMNANOIE is a COM Express Mini Type CPU Module with a soldered onboard Intel Atom E series SoC processor. It includes integrated Gigabit Ethernet, multiple USB ports, serial ports, PCIe lanes, and supports dual independent displays. The module is designed for extended operating temperatures and various industrial applications.', 'target_applications': ['Industrial Automation', 'Embedded Systems', 'IoT Devices']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.69600510597229}], 'extract_features': [{'input_tokens': 1133, 'output_tokens': 783, 'time_taken': 15.971335172653198}]}",2003
conga-B7XDslashP-D1508,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONGABXD', 'manufacturer': 'CONGATEC', 'form_factor': 'COM EXPRESS BASIC 125 X 95 MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'X86', 'processor_core_count': '4-16', 'processor_manufacturer': 'INTEL', 'processor_tdp': '35-65W', 'memory': 'UP TO 64GB DDR4 SODIMM, OPTIONAL ECC SUPPORT', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': '2x GbE KR, 32x PCIe Gen3, 4x USB 3.0, 8x USB 2.0, 4x SATA III, LPC, SPI, I2C, UART, SMBus', 'wireless': 'Not Available', 'operating_system_bsp': ['WINDOWS 10', 'WINDOWS SERVER 2016', 'WINDOWS SERVER 2012 R2', 'WINDOWS SERVER 2019', 'RHEL', 'SUSE', 'FEDORA', 'UBUNTU', 'CENTOS', 'FREEBSD', 'VMWARE', 'HYPERV', 'XEN', 'ESXI'], 'operating_temperature_max': '85°C', 'operating_temperature_min': '-40°C', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'COM Express Type 7 module with Intel Xeon D processors, up to 16 cores, dual-channel DDR4 memory, and extensive I/O interfaces.', 'full_summary': 'The conga-BXD is a COM Express Type 7 module featuring Intel Xeon D processors with up to 16 cores, dual-channel DDR4 memory with optional ECC support, and extensive I/O interfaces including 2x GbE KR, 32x PCIe Gen3, 4x USB 3.0, 8x USB 2.0, and 4x SATA III. It supports a wide range of operating systems and is suitable for industrial and server-class applications.', 'full_product_description': 'The conga-BXD COM Express Type 7 module is designed for high-performance computing in industrial and server-class applications. It features Intel Xeon D processors with up to 16 cores, dual-channel DDR4 memory with optional ECC support, and a comprehensive set of I/O interfaces including 2x GbE KR, 32x PCIe Gen3, 4x USB 3.0, 8x USB 2.0, and 4x SATA III. The module supports a wide range of operating systems including Windows and various Linux distributions, making it versatile for different use cases. It is built to withstand industrial temperature ranges from -40°C to 85°C.', 'target_applications': ['INDUSTRIAL', 'SERVER-CLASS', 'HIGH-PERFORMANCE COMPUTING']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.0049190521240234}], 'extract_features': [{'input_tokens': 2695, 'output_tokens': 1023, 'time_taken': 18.453192949295044}]}",8169
NANO-ADL-P-i5C-R10,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'NANOADLP', 'manufacturer': 'IEI', 'form_factor': 'EPIC SBC', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'Intel', 'processor_tdp': 'Not Available', 'memory': '8GB LPDDR4x 4266MHz', 'onboard_storage': 'Not Available', 'input_voltage': '12V DC', 'io_count': ['2x HDMI', '2x DP', '1x iDPM', '4x USB 3.2 Gen 2', '2x USB 2.0', '2x SATA 6Gb/s', '2x RS-232', '2x RS-422/485', '2x GbE LAN', '1x PCIe x4', '1x PCIe x1', '1x M.2 A Key', '1x M.2 B Key', '1x Audio'], 'wireless': 'WiFi, Bluetooth', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '60°C', 'operating_temperature_min': '-20°C', 'certifications': ['CE', 'FCC', 'RoHS'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'EPIC SBC with Intel Alder Lake-P, 8GB LPDDR4x, multiple I/O interfaces, and quad display support.', 'full_summary': 'The NANOADLP is an EPIC SBC featuring Intel Alder Lake-P processors, 8GB LPDDR4x memory, and a variety of I/O interfaces including HDMI, DP, USB, SATA, and more. It supports quad independent displays and is suitable for high-performance multitasking applications.', 'full_product_description': 'The NANOADLP EPIC SBC supports Intel Alder Lake-P processors, including Core i3, i5, and Celeron variants. It comes with 8GB of LPDDR4x 4266MHz memory onboard. The board features multiple I/O interfaces such as 2x HDMI, 2x DP, 4x USB 3.2 Gen 2, 2x USB 2.0, 2x SATA 6Gb/s, 2x RS-232, 2x RS-422/485, 2x GbE LAN, 1x PCIe x4, 1x PCIe x1, 1x M.2 A Key, 1x M.2 B Key, and audio support. It supports quad independent displays and is designed for high-performance multitasking applications. The board operates within a temperature range of -20°C to 60°C and complies with CE, FCC, and RoHS certifications.', 'target_applications': ['Industrial Automation', 'Digital Signage', 'Medical Devices', 'IoT Gateways', 'Edge Computing']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.8005778789520264}], 'extract_features': [{'input_tokens': 1969, 'output_tokens': 1055, 'time_taken': 18.933187007904053}]}",4364
81P-0001,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONTROL BOARD', 'manufacturer': 'GRAVES ELECTRONICS LLC', 'form_factor': 'Not Available', 'evaluation_or_commercialization': False, 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'MICROCHIP', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'Not Available', 'input_voltage': '7-24V DC', 'io_count': '8 IO lines, 4 MOSFET outputs', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'A versatile control board designed for industrial applications with RS232/RS485 communication, 8 IO lines, and 4 MOSFET outputs.', 'full_summary': 'The control board is built around the powerful PIC18F45K22 microcontroller from Microchip. It features standard RS232 and RS485 communication, 8 IO lines that can be configured as analog or digital inputs/outputs, and 4 dedicated MOSFET outputs. The board supports expansion modules via SPI and I2C buses, and comes with pluggable headers for easy installation and maintenance.', 'full_product_description': 'The control board is a unique platform that bridges the gap between hobbyist maker boards and custom-designed industrial controller boards. It is built around the powerful PIC18F45K22 microcontroller from Microchip and offers a host of features expected in an industrial controller board. Standard features include RS232 and RS485 communication, 8 IO lines that can be configured as analog or digital inputs/outputs, and 4 dedicated MOSFET outputs. The board also includes two expansion module ports for additional functionality, using SPI and I2C buses for communication. Pluggable headers for input power, IO, MOSFET outputs, and RS lines allow for easy wiring and maintenance. The board supports programming in any language using any compatible compiler and programmer, with a hex file compatible programming cable.', 'target_applications': ['Industrial control', 'Automation', 'Custom embedded systems']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 4.335060119628906}], 'extract_features': [{'input_tokens': 3977, 'output_tokens': 866, 'time_taken': 16.027014017105103}]}",16261
ESRP-CMS-U2271V2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ESRPCMSUV ThinManager Ready PocketSize Edge IoT Thin Client', 'manufacturer': 'Advantech', 'form_factor': 'PocketSize', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 2, 'processor_manufacturer': 'Intel', 'processor_tdp': 'Not Available', 'memory': '4GB DDR3 1600MHz onboard', 'onboard_storage': 'Not Available', 'input_voltage': '12VDC', 'io_count': ['2 x RJ45 LAN Ports', '2 x USB 3.1 Gen 1 Ports', '1 x HDMI'], 'wireless': 'Not Available', 'operating_system_bsp': 'ThinManager', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': ['CE', 'FCC', 'UL', 'CCC', 'BSMI', 'RoHS'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Advantech ESRP-CMSUV is a ThinManager Ready PocketSize Edge IoT Thin Client with Intel Celeron N processor.', 'full_summary': 'Advantech ESRP-CMSUV ThinManager Ready PocketSize Edge IoT Thin Client integrates ThinManager software for distributed applications, featuring Intel Celeron N dual-core processor, 4GB DDR3 memory, and multiple I/O interfaces including HDMI and USB 3.1 Gen 1.', 'full_product_description': 'Advantech ESRP-CMSUV ThinManager Ready PocketSize Edge IoT Thin Client is designed for industrial applications, integrating ThinManager software for centralized management. It features an Intel Celeron N dual-core processor, 4GB DDR3 memory, and multiple I/O interfaces including 2 x RJ45 LAN ports, 2 x USB 3.1 Gen 1 ports, and 1 x HDMI. The device is compact, robust, fanless, and cable-free, with various mounting options including stand, wall, VESA, and DIN rail. It is CE, FCC, UL, CCC, BSMI, and RoHS compliant.', 'target_applications': ['Industrial Automation', 'Remote Monitoring', 'IoT Edge Computing']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.9081499576568604}], 'extract_features': [{'input_tokens': 1082, 'output_tokens': 870, 'time_taken': 18.814846992492676}]}",2122
SCMD30XP2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'STRATO PI CM DUO', 'manufacturer': 'SFERA LABS', 'form_factor': 'DIN RAIL CASE', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'BROADCOM', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': '8GB, 16GB, 32GB EMMC', 'input_voltage': '9-28V DC', 'io_count': ['1 x RS232', '2 x USB Type-A', '1 x Ethernet', '2 x microSD slots'], 'wireless': 'Not Available', 'operating_system_bsp': ['Raspbian'], 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': ['CE', 'FCC', 'RCM'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Compact industrial server based on Raspberry Pi Compute Module, suitable for professional industrial applications.', 'full_summary': 'Strato Pi CM Duo is a powerful, compact industrial server based on the Raspberry Pi Compute Module, housed in a DIN rail case. It is suitable for professional industrial applications where reliability and service continuity are key requirements.', 'full_product_description': 'Strato Pi CM Duo is an industrial server based on the Raspberry Pi Compute Module, available in several versions with 8GB, 16GB, or 32GB eMMC storage. It features a 9-28V DC power supply with surge and reverse polarity protection, a replaceable CR2032 lithium battery for RTC, RS232 interface, Ethernet port, two USB Type-A ports, and dual microSD card architecture. The device is housed in a compact DIN rail case and includes a hardware watchdog, secure element chip, and front-panel LEDs.', 'target_applications': ['Industrial automation', 'IoT gateways', 'Edge computing', 'Data logging']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.3832461833953857}], 'extract_features': [{'input_tokens': 3798, 'output_tokens': 819, 'time_taken': 12.877668142318726}]}",32061
LEC-iMX8MP-Q-N-2G-32G-BW-CT,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'LECIMXMP SMARC SHORT SIZE MODULE', 'manufacturer': 'ADLINK TECHNOLOGY', 'form_factor': 'SMARC SHORT SIZE MODULE 82MM X 50MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': '4', 'processor_manufacturer': 'NXP', 'processor_tdp': 'Not Available', 'memory': '4GB LPDDR4', 'onboard_storage': '64GB EMMC', 'input_voltage': '5V DC', 'io_count': ['USB 2.0 x 4', 'USB 3.0 x 2', 'Dual GbE ports', 'CAN x 2', 'PCIe x 2', 'UART x 3', 'SPI x 2', 'I2C x 4', 'GPIO x 12'], 'wireless': ['Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth 5.0'], 'operating_system_bsp': ['Yocto Linux BSP', 'Android', 'VxWorks'], 'operating_temperature_max': '85°C', 'operating_temperature_min': '-40°C', 'certifications': ['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'LECIMXMP SMARC Short Size Module featuring NXP i.MX 8M Plus Quad Cortex-A53, optional NPU, dual GbE, and rugged operating temperature.', 'full_summary': 'The LECIMXMP SMARC Short Size Module is powered by the NXP i.MX 8M Plus Quad Cortex-A53 processor with optional NPU. It supports a wide range of interfaces including dual GbE, USB, CAN, PCIe, and more. It is designed for rugged environments with an operating temperature range of -40°C to 85°C.', 'full_product_description': 'The LECIMXMP SMARC Short Size Module by ADLINK Technology features the NXP i.MX 8M Plus Quad Cortex-A53 processor with optional NPU for AI applications. It includes 4GB LPDDR4 memory and 64GB eMMC storage. The module supports various interfaces such as dual GbE ports, multiple USB ports, CAN, PCIe, UART, SPI, and I2C. It is compliant with SMARC 2.1 specifications and is designed for rugged environments with an operating temperature range of -40°C to 85°C. The module supports Yocto Linux BSP, Android, and VxWorks operating systems.', 'target_applications': ['Industrial Automation', 'AI and Machine Learning', 'IoT Gateways', 'Multimedia Applications']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.034698009490967}], 'extract_features': [{'input_tokens': 2213, 'output_tokens': 1037, 'time_taken': 14.9197678565979}]}",5653
uLCD-220RD-Pi,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ULCDRD', 'manufacturer': 'D SYSTEMS', 'form_factor': 'Round LCD', 'evaluation_or_commercialization': 'Not Available', 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'D SYSTEMS', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'microSD memory storage', 'input_voltage': 'Not Available', 'io_count': 'Multiple TTL Serial, I2C, SPI channels, multiple millisecond resolution timers, PWM, Pulse Out, Quadrature Input, various GPIO, Analog Input channels', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems DIABLO Graphics Processor.', 'full_summary': 'The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems DIABLO Graphics Processor. It is designed for applications such as gauges, instruments, and special applications in robotics. The round LCD has a diameter of pixels, with a round configuration instead of the normal square configuration found in TFT LCD Displays.', 'full_product_description': 'The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems DIABLO Graphics Processor. It is designed for applications such as gauges, instruments, and special applications in robotics. The round LCD has a diameter of pixels, with a round configuration instead of the normal square configuration found in TFT LCD Displays. The DIABLO processor is a powerful chip that enables standalone functionality and can be programmed using D Systems Workshop IDE Software. The module features PWM Sound, microSD memory storage, general-purpose IO including Analog Inputs, multiple TTL Serial, I2C, SPI channels, and multiple millisecond resolution timers.', 'target_applications': ['Gauges', 'Instruments', 'Special applications in robotics']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.290229082107544}], 'extract_features': [{'input_tokens': 1090, 'output_tokens': 823, 'time_taken': 12.168761253356934}]}",2453
ASMB-975-00A1,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ASMB', 'manufacturer': 'ADVANTECH', 'form_factor': 'Proprietary 305 x 330 mm', 'evaluation_or_commercialization': 'False', 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': '205W', 'memory': 'DDR4 ECC REG 2666 MHz, up to 768GB LRDIMM or 384GB RDIMM', 'onboard_storage': 'Intel C621 chipset, 10 x SATA 6Gb/s', 'input_voltage': '12V, 5V, 3.3V, 5Vsb', 'io_count': ['8 x USB ports', '2 x RJ45 LAN ports', '1 x VGA port', '1 x Serial port', '1 x PS/2 KB/Mouse port'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '40°C', 'operating_temperature_min': '0°C', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Proprietary server board with dual Intel Xeon Scalable processors, DDR4 ECC memory, and extensive I/O options.', 'full_summary': 'The ASMB server board by Advantech features dual Intel Xeon Scalable processors, supports up to 768GB of DDR4 ECC memory, and offers extensive I/O options including multiple PCIe slots, USB ports, and dual GbE LAN ports. It is designed for high-performance computing applications.', 'full_product_description': ""Advantech's ASMB server board is a proprietary form factor board designed for high-performance computing. It supports dual Intel Xeon Scalable processors and up to 768GB of DDR4 ECC memory. The board includes multiple PCIe slots, 10 SATA ports, dual GbE LAN ports, and various other I/O options. It is suitable for data centers, enterprise servers, and other demanding applications."", 'target_applications': ['Data Centers', 'Enterprise Servers', 'High-Performance Computing']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.442223072052002}], 'extract_features': [{'input_tokens': 1902, 'output_tokens': 872, 'time_taken': 13.99474024772644}]}",4503
DS-081GB-U2A1E,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'DS ULTRASLIM FANLESS DIGITAL SIGNAGE PLAYER', 'manufacturer': 'ADVANTECH', 'form_factor': 'ULTRASLIM', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': '2', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': 'DDR3 1600 MHz, Max Capacity 16 GB', 'onboard_storage': 'SATA 2.5 inch SATA III HDD/SSD, mSATA', 'input_voltage': '12V DC-in', 'io_count': ['HDMI x2', 'USB x4', 'LAN x2', 'Serial Port x2', 'Audio SPDIF/Line-out, Mic-in', 'MiniPCIe Internal Full-size'], 'wireless': 'Optional Wi-Fi, HSDPA', 'operating_system_bsp': ['Windows Embedded', 'Linux'], 'operating_temperature_max': '50°C', 'operating_temperature_min': '0°C', 'certifications': ['EMC CE/FCC Class B', 'CCC', 'BSMI', 'Safety UL/CB/CCC/BSMI'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'DS Ultraslim Fanless Digital Signage Player with Intel Core and Celeron processors, dual HDMI output, and fanless design.', 'full_summary': ""The DS Ultraslim Fanless Digital Signage Player is the world's slimmest digital signage player, powered by 6th and 7th Generation Intel Core and Intel Celeron Mobile-U processors. It features dual HDMI display output with 4K UHD resolution, fanless and cableless design, and is highly expandable via internal MiniPCIe interface."", 'full_product_description': 'The DS Ultraslim Fanless Digital Signage Player is designed for space-limited installations, offering a thin chassis and dual HDMI display output capable of 4K UHD resolution. It supports Windows Embedded and Linux operating systems, and includes features like fanless design, internal MiniPCIe expansion, and comprehensive I/O interfaces. Certifications include EMC CE/FCC Class B, CCC, BSMI, and Safety UL/CB/CCC/BSMI.', 'target_applications': ['Digital Signage', 'Retail', 'Advertising', 'Public Information Displays']}","{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.376720905303955}], 'extract_features': [{'input_tokens': 1450, 'output_tokens': 937, 'time_taken': 15.88443899154663}]}",3380
